episode,timestep,reward
1,225,-1033.529357764818
2,381,-1028.434272957128
3,459,-1025.761090351776
4,538,-1024.4639833677813
5,640,-1024.7753911960694
6,985,-1024.854658941421
7,1187,-1026.4407404601877
8,1446,-1027.2174232660427
9,1607,-1028.294461190616
10,1825,-1028.9291850057994
11,1972,-1029.7393431221383
12,2224,-1030.0947133085429
13,2441,-1030.3949281059654
14,2626,-1030.6381914587407
15,2801,-1030.8460977181505
16,2990,-1031.0593118811744
17,3134,-1031.4434470417418
18,3286,-1031.7759144115998
19,3405,-1032.115953218387
20,3547,-1032.3098027395263
21,3727,-1032.3617304742606
22,3929,-1032.4446365732765
23,4095,-1032.7114345839611
24,4343,-1032.709807566677
25,4577,-1032.6886639000234
26,4927,-1033.4171211405906
27,5143,-1033.482875402521
28,5355,-1033.527835983136
29,5649,-1033.5706564585148
30,5888,-1033.62466893855
31,6388,-1000.7416284277614
32,6765,-1001.5884603526677
33,7116,-1002.5297216175038
34,7481,-1003.5299961973619
35,7687,-1004.3645095012042
36,8014,-1005.2485264864744
37,8180,-1006.1391543144073
38,8363,-1006.4895873831797
39,8535,-1007.2349705149114
40,8869,-1007.8294087353831
41,9168,-1008.4364961763008
42,9438,-1009.0411455824764
43,9653,-1009.605643815798
44,9854,-1010.1619868108551
45,10092,-1010.6747913130473
46,10310,-1011.1692905052817
47,10572,-1011.6496595628212
48,10746,-1012.1157558707968
49,10959,-1012.5513238067815
50,11175,-1012.9753268946557
51,11330,-1013.4313443387337
52,11556,-1013.8160168584465
53,11714,-1014.1793351247827
54,11909,-1014.5471596296381
55,12067,-1014.9050401418061
56,12253,-1015.2239173107749
57,12471,-1015.5382395171519
58,12673,-1015.8339470929885
59,12879,-1016.1396119045015
60,13079,-1016.3891258568278
61,13215,-1016.6795141810852
62,13369,-1016.9398860289309
63,13568,-1017.1682370145711
64,13746,-1017.4008163486992
65,13923,-1017.6086540435462
66,14122,-1017.7885183115026
67,14296,-1017.9726850883138
68,14440,-1018.1079668217999
69,14617,-1018.2773810158476
70,14787,-1018.4771898083786
71,14935,-1018.6866042681979
72,15176,-1018.86320278812
73,15344,-1019.0267596948654
74,15844,-1005.3357131225586
75,16101,-1005.7146183734566
76,16275,-1006.0952229646862
77,16460,-1006.4911822068145
78,16669,-1006.8451362643126
79,16864,-1007.2671491899916
80,17064,-1007.6316183981442
81,17320,-1007.9317128847467
82,17820,-995.8006205044414
83,18037,-996.2597935026456
84,18341,-996.6870332611047
85,18841,-985.1763681191647
86,19092,-985.7414058988551
87,19592,-974.5273734204516
88,19793,-975.1973644768642
89,20293,-964.4547358780815
90,20462,-965.2276103250624
91,20707,-965.995423282797
92,20941,-966.7478756248377
93,21134,-967.484468065045
94,21362,-968.2072369703022
95,21583,-968.9145904130138
96,21777,-969.6124374994437
97,22138,-970.3028135213127
98,22295,-970.9699553396563
99,22486,-971.6188143868663
100,22648,-972.2588789851575
101,22872,-972.273479476132
102,23081,-972.3887198479019
103,23284,-972.5376739499687
104,23438,-972.6979123883738
105,23642,-972.80603894235
106,24018,-972.9394554577244
107,24300,-972.9521414319472
108,24600,-972.9965426879161
109,24800,-973.0037485415352
110,24968,-973.0158929156142
111,25267,-973.00869357716
112,25449,-973.0250424112254
113,25672,-973.0408676540646
114,25894,-973.0576572115862
115,26103,-973.066603761318
116,26378,-973.080467714084
117,26562,-973.062329414841
118,26841,-973.0555505971886
119,27018,-973.0292757176585
120,27243,-973.027029224421
121,27452,-973.0516693945945
122,27952,-962.8493978724802
123,28123,-962.8149386580747
124,28368,-962.8332212530865
125,28648,-962.8669335855851
126,28902,-962.7001852711054
127,29084,-962.700406956497
128,29314,-962.7156121183742
129,29587,-962.7228526767115
130,29848,-962.7117975355362
131,30143,-972.9207061978752
132,30510,-972.9810345999375
133,30788,-972.9701525760746
134,31176,-972.8772126860756
135,31676,-962.6025592786526
136,32176,-952.3153543084145
137,32676,-942.0041227751661
138,33176,-931.8675106486188
139,33676,-921.5841312665018
140,34176,-911.3477648054452
141,34373,-911.4428409514913
142,34873,-901.1435350817926
143,35373,-890.8663295248881
144,35873,-880.6311152272268
145,36373,-870.3645011591186
146,36873,-860.1093686183427
147,37373,-849.8383588059389
148,37873,-839.569414351284
149,38373,-829.3184403372289
150,38873,-819.0821250835834
151,39373,-808.8238290636714
152,39873,-798.5925866232319
153,40373,-788.3707197026004
154,40873,-778.1532072635829
155,41373,-767.9449140138611
156,41873,-757.7372881751362
157,42373,-747.5202065851279
158,42873,-737.3017145067696
159,43373,-727.1016259937569
160,43873,-716.9257206397048
161,44373,-706.7374406097465
162,44873,-696.5685287616831
163,45373,-686.4208622253748
164,45873,-676.2514302825523
165,46373,-666.0830404463616
166,46873,-655.9559306388204
167,47373,-645.8308316553283
168,47873,-635.7640520675795
169,48373,-625.6788075990714
170,48873,-615.5482879515728
171,49373,-605.3728813436952
172,49873,-595.2250797885969
173,50373,-585.0550792208654
174,50873,-585.1299870000453
175,51373,-574.9267993190766
176,51873,-564.7344809399522
