episode,timestep,reward
1,95,-1019.0444441080573
2,161,-1018.8324529537083
3,238,-1018.874099297767
4,354,-1018.9460963113628
5,434,-1018.886858663163
6,516,-1018.8553388241847
7,703,-1019.7423994958275
8,782,-1019.6215447659349
9,857,-1019.5356725461768
10,1032,-1021.0684447578357
11,1155,-1021.0161780155145
12,1342,-1021.1549084848579
13,1517,-1021.4012276276094
14,1720,-1021.5216684635407
15,1863,-1021.51592334267
16,2044,-1021.602028152716
17,2387,-1021.9053630107087
18,2887,-965.5428570798706
19,3110,-969.0870068229991
20,3361,-972.1628298590009
21,3661,-975.0341454218336
22,3852,-977.7206648065087
23,4106,-980.1220182676052
24,4301,-982.3492763202538
25,4498,-984.3456749884192
26,4736,-986.1754359660179
27,4968,-987.851036233641
28,5140,-989.451746696391
29,5340,-990.933665854314
30,5576,-992.3237023731276
31,5909,-993.6277944176412
32,6119,-994.813982591148
33,6380,-995.974653541102
34,6687,-997.0283662277205
35,7187,-968.5885629950848
36,7517,-970.3293983813821
37,7738,-971.9810845377909
38,8070,-973.5565739839666
39,8255,-975.0417307301876
40,8477,-976.4711485591731
41,8636,-977.8146849121232
42,9136,-954.5969484131092
43,9307,-956.3782331054265
44,9564,-958.0627516559122
45,10064,-936.8820098445001
46,10564,-916.6166094689372
47,11064,-897.2157053331179
48,11246,-899.887231372754
49,11746,-881.6311461006217
50,11881,-884.4980203305371
51,12381,-867.2459265156828
52,12509,-870.2305585427828
53,12706,-873.1201839528187
54,12837,-875.9131108389921
55,13026,-878.6157092484854
56,13142,-881.2215283634471
57,13285,-883.7259215822379
58,13405,-886.1683958636081
59,13520,-888.532416427034
60,13641,-890.8316685661526
61,13799,-893.0575340697978
62,14299,-878.9158714768229
63,14482,-881.3330356058624
64,14665,-883.6496257443614
65,14968,-885.9723100534794
66,15468,-872.6963376652454
67,15968,-859.7949925214651
68,16145,-862.3695589649539
69,16324,-864.8646579198409
70,16824,-852.6367084453445
71,17324,-840.743019550371
72,17824,-829.1805279285275
73,18324,-817.924306597873
74,18824,-806.9661283513333
75,19324,-796.27379000622
76,19824,-785.8736834158238
