episode,timestep,reward
1,256,-1022.9382085059866
2,377,-1022.7920125929759
3,523,-1023.3136426276659
4,768,-1022.0512212210649
5,843,-1021.2940944447316
6,924,-1020.8503169944734
7,1010,-1020.6881422406987
8,1110,-1020.5667069720444
9,1189,-1020.3544158991081
10,1264,-1020.1330555061004
11,1346,-1019.9815289065446
12,1435,-1019.8853823552649
13,1532,-1019.8323754516749
14,1682,-1020.1727307968415
15,1879,-1020.3662083946886
16,1993,-1020.2601374452144
17,2151,-1020.4977227093952
18,2272,-1020.3774605880068
19,2442,-1020.5437148307777
20,2619,-1020.7085023548361
21,2708,-1020.5965000076721
22,2919,-1020.7130526692127
23,3116,-1020.8616394846739
24,3332,-1020.9931439872686
25,3518,-1021.1291267032036
26,3630,-1021.3163104988963
27,3818,-1021.4918533505496
28,3986,-1021.61760229682
29,4191,-1021.7074910088509
30,4336,-1021.8503163492318
31,4448,-1021.9778153579339
32,4592,-1022.0723558548415
33,4715,-1022.1786006717692
34,4868,-1022.2553733268721
35,5012,-1022.3619160882771
36,5181,-1022.3971061517542
37,5350,-1022.445771372593
38,5505,-1022.477851383721
39,5659,-1022.5109526285744
40,5808,-1022.5560097456266
41,5964,-1022.5875940426159
42,6115,-1022.6309733261977
43,6249,-1022.6660827389649
44,6380,-1022.700351911721
45,6537,-1022.7459546089809
46,6726,-1022.7691178280046
47,6871,-1022.7990142345714
48,7002,-1022.8456448015278
49,7163,-1022.887951999298
50,7313,-1022.9232270004157
51,7433,-1022.9712284260132
52,7579,-1022.9954458667797
53,7730,-1023.0122942368856
54,7852,-1023.0416800967931
55,8020,-1023.0689769205952
56,8139,-1023.1172830160255
57,8251,-1023.1655990873388
58,8409,-1023.20652296506
59,8524,-1023.2386668153679
60,8668,-1023.2698025468046
61,8775,-1023.2974760584297
62,8911,-1023.3343906065368
63,9040,-1023.3842681273736
64,9175,-1023.4030962843286
65,9281,-1023.418633357568
66,9386,-1023.4326492891137
67,9516,-1023.4600449400123
68,9685,-1023.4522415175869
69,9856,-1023.4719705156764
70,10106,-1023.4852936861704
71,10393,-1023.6654149375802
72,10893,-1009.4802201883685
73,11097,-1009.8512652276502
74,11331,-1010.2118040361063
