episode,timestep,reward,raw_reward
1,68,-1007.4397064522798,-1007.4397064522798
2,117,-1007.0841210667786,-1006.7285356812773
3,185,-1007.0488399667646,-1006.9782777667365
4,245,-1007.2740469142493,-1007.9496677567033
5,300,-1007.6057701641241,-1008.9326631636234
6,396,-1007.734292554641,-1008.3769045072257
7,816,-1009.1566008040643,-1017.6904503006035
8,1031,-1009.9944655191149,-1015.8595185244693
9,1255,-1010.5676445209615,-1015.1530765357331
10,1345,-1010.5923299594491,-1010.8144989058375
11,1451,-1010.7525536173703,-1012.354790196582
12,1544,-1010.7400381725669,-1010.6023682797294
13,1604,-1010.6567160473677,-1009.6568505449773
14,1768,-1011.2318663393966,-1018.7088201357734
15,1965,-1011.4968545041058,-1015.2066888100339
16,2180,-1011.7014406732266,-1014.7702332100405
17,2394,-1011.879168783995,-1014.7228185562926
18,2542,-1012.1189589073573,-1016.1953910045171
19,2715,-1012.283998418185,-1015.254709613082
20,3000,-1012.2883151801576,-1012.3703336576376
21,3149,-1012.6918292282595,-1015.5099874143167
22,3389,-1013.003286275621,-1012.957676628509
23,3518,-1013.4295328745122,-1015.5032097445529
24,4018,-963.74105224456,-14.180055157658218
25,4518,-913.8329157099524,-10.769932471473778
26,5018,-864.1475359616825,-14.669309541826056
27,5518,-813.889120292941,-12.52213692577573
28,6018,-763.7430419070012,-12.937950805671939
29,6465,-763.7216064305388,-1014.7243670064884
30,6605,-764.0506298369658,-1017.3949670343761
31,6766,-764.2526979759904,-1016.3961529770754
32,7172,-764.3814400505905,-1013.1772097717308
33,7538,-764.5793415427909,-1013.6148803889869
34,7786,-764.2927148815083,-1012.9762869101231
35,8286,-714.251542153637,-14.383234252604227
36,8786,-664.4983901750052,-19.707193637407393
37,8963,-664.2784149968172,-1010.3233149925323
38,9463,-614.3458340206221,-17.543771480614033
39,9963,-565.1235289918208,-30.808609037053916
40,10140,-565.0912639582513,-1011.7250329862464
41,10640,-515.0785609675207,-15.255927599706425
42,11140,-464.97428835099265,-10.872224297946945
43,11613,-464.97444812970525,-1015.5064053188058
44,11907,-514.7831710038034,-1010.354512639624
45,12068,-564.664881249328,-1008.4041373819632
46,12239,-614.4896082991551,-1011.1638505383683
47,12433,-664.3512690385439,-1009.7553517135516
48,12616,-714.1615274013035,-1009.1431180608643
49,12842,-713.8605145223293,-1008.7041094270049
50,13342,-663.5840994926385,-11.866666440560492
51,13842,-613.2113410614905,-8.940984354115919
52,14146,-613.0288101161555,-1009.5265908650292
53,14390,-612.9230845380059,-1011.5003688259958
54,14890,-563.0225742950139,-14.966082050283168
55,15022,-612.6707081789831,-1007.3459119319881
56,15182,-662.1238516898729,-1008.770063855206
57,15682,-612.2499187625032,-12.844656445132859
58,15830,-661.8450063259033,-1009.4455227486176
59,16017,-711.0790655043147,-1015.4897926052834
60,16304,-711.1503249996322,-1013.150222892594
61,16653,-760.9914102899436,-1012.0776334059344
62,17153,-760.9875731462764,-10.795481424603214
63,17653,-711.018052826454,-16.115998922358095
64,17838,-711.3169720164339,-1016.3328964392231
65,18181,-711.6172911173068,-1014.4105193994222
66,18582,-711.740477773596,-1013.6275836641526
67,19082,-661.9290951582136,-13.52769940590125
68,19582,-612.1126493022936,-12.814200942466027
69,19903,-612.4178318846227,-1014.8077610735845
70,20403,-612.3734679056939,-10.979386861986146
71,20603,-662.6379084486773,-1014.2297952137856
72,20818,-662.697890159031,-1010.7262250721038
73,20996,-662.8449862091035,-1014.4422898274435
74,21253,-712.5301823134859,-1008.6700041379302
75,21415,-712.5592664022021,-1007.9275937063119
76,21915,-662.6313119178458,-10.210974168080183
77,22415,-662.5668289537579,-11.554997163377378
78,22915,-612.5286186453379,-8.681316580219692
79,23403,-612.6158732054425,-1017.2348838073721
80,23903,-562.3858366729935,-8.549492243613182
81,24403,-512.1559906134936,-7.480712215936111
82,24569,-562.423052191692,-1016.1367129885705
83,25069,-562.1849189576793,-11.353334242105353
84,25237,-562.1484456414005,-1015.603430113648
85,25385,-562.2088807993803,-1015.6192225590187
