episode,timestep,reward,raw_reward
1,154,-1259.625547292881,-1259.625547292881
2,246,-1210.056355987539,-1160.487164682197
3,441,-1212.8403051001148,-1218.408203325266
4,528,-1185.7842816488592,-1104.6162112950924
5,692,-1162.3284448139443,-1068.505097474284
6,896,-1147.6364435753692,-1074.1764373824944
7,981,-1131.0651433782682,-1031.6373421956625
8,1096,-1122.9885666734674,-1066.4525297398618
9,1236,-1117.2853227538203,-1071.6593713966424
10,1438,-1110.8064800300087,-1052.496895515706
11,1542,-1106.0282848022086,-1058.246332524208
12,1710,-1101.28922284087,-1049.1595412661454
13,1918,-1099.345989500929,-1076.027189421635
14,2034,-1095.6977334763274,-1048.2704051565076
15,2203,-1093.8442228388399,-1067.8950739140157
16,2545,-1102.2639449807666,-1228.5597771096657
17,2619,-1100.928995113273,-1079.5697972333762
18,3119,-1053.9958551603156,-256.13247596004067
19,3245,-1054.7876463730493,-1069.0398882022528
20,3703,-1063.956654324627,-1238.1678054046033
21,3828,-1063.5484388828634,-1055.3841300475929
22,4115,-1066.7586491072097,-1134.1730638184863
23,4615,-1034.586340837227,-326.79555889760275
24,4715,-1034.871604831215,-1041.432676692941
25,5215,-1007.2426813484037,-344.1485177609331
26,5338,-1008.7712129737615,-1046.984503607705
27,5484,-1011.7152853396962,-1088.261166853996
28,5714,-1015.148488213752,-1107.84496581326
29,6165,-1021.4414958368528,-1197.645709283676
30,6255,-1021.9694139076295,-1037.2790379601522
31,6347,-1022.4943515067024,-1038.2424794788883
32,6500,-1023.5871162184615,-1057.4628222829945
33,6596,-1023.9155873872913,-1034.4266647898485
34,6699,-1024.2883542496259,-1036.5896607066686
35,6883,-1025.1574274893076,-1054.7059176384869
36,6976,-1025.5633023633452,-1039.768922954657
37,7215,-1026.8947609743282,-1074.8272709697087
38,7715,-1006.5603234080112,-254.18613345428437
39,7893,-1008.5524453042116,-1084.2530773598244
40,8039,-1009.7636830041836,-1057.001953303097
