episode,timestep,reward
1,95,-1018.1553878945227
2,161,-1017.9888687778205
3,238,-1018.1056872033187
4,372,-1018.0570359239589
5,446,-1018.0015410013928
6,544,-1018.1423717021156
7,657,-1018.2242621022945
8,752,-1018.1963606059583
9,1096,-1018.6381107692656
10,1377,-1019.2696831483842
11,1490,-1019.4573241015216
12,1620,-1019.6622546135294
13,1788,-1019.894057544753
14,2199,-1020.8854213797089
15,2327,-1020.85630225859
16,2503,-1020.956474202538
17,2717,-1021.2026406581647
18,2884,-1022.0952359266006
19,3025,-1022.9166870488336
20,3150,-1023.6378166445644
21,3281,-1024.3137041362838
22,3387,-1024.8096593071803
23,3492,-1025.1283872266215
24,3585,-1025.4348865615457
25,3678,-1025.563134697798
26,3766,-1025.53604497385
27,3852,-1025.5582748283994
28,3935,-1025.5559041004346
29,4020,-1025.5087380611285
30,4130,-1025.5755305731914
31,4227,-1025.447021054591
32,4310,-1025.317216685464
33,4397,-1025.1609989526808
34,4516,-1024.9442034031622
35,4671,-1024.729693669442
36,4849,-1024.8844541643116
37,4954,-1024.7070850741193
38,5071,-1024.6544844637945
39,5157,-1024.573508886442
40,5270,-1024.5053582005662
41,5361,-1024.4232170754503
42,5540,-1024.3462150527344
43,5619,-1024.2601132019618
44,5715,-1024.170324600137
45,5818,-1024.10266365486
46,5903,-1024.034011574283
47,5994,-1023.9558396174523
48,6070,-1023.8838962682552
49,6248,-1023.8843265354419
50,6361,-1023.9114686991551
51,6532,-1023.9074409094482
52,6637,-1023.8703872992929
53,6779,-1023.8298052212115
54,6891,-1023.7986838444559
55,7034,-1023.7508772439884
56,7129,-1023.711224405922
57,7242,-1023.6572253942833
58,7333,-1023.6183971394187
59,7419,-1023.5783370215478
60,7509,-1023.546551200482
61,7611,-1023.5161250929115
62,7743,-1023.5056265128931
63,7855,-1023.519074244258
64,7968,-1023.579579159938
65,8104,-1023.733641609226
66,8283,-1023.8835747375254
67,8450,-1024.0735779050472
68,8618,-1024.3370966972604
69,8880,-1024.3820226379044
70,9259,-1024.3699511150303
71,9759,-1009.9426970834953
72,10057,-1010.3691568686702
73,10313,-1010.8487309839195
74,10625,-1011.1148825875113
75,10912,-1011.3624286630014
76,11332,-1011.6076292172576
77,11832,-998.5521964506271
78,12332,-985.8387379479684
79,12832,-973.4486960259148
80,13332,-961.3248986945762
81,13832,-949.4801495091722
82,14332,-937.9323600222633
83,14832,-926.6412379169959
84,15332,-915.6150640265124
85,15832,-904.8448282247948
86,16332,-894.3267976953921
87,16832,-884.0510569694723
88,17332,-874.008103616142
89,17832,-864.1979111599712
90,18332,-854.6047448489314
91,18832,-845.2320644463191
92,19332,-836.0589096355237
93,19832,-827.0986658041494
94,20332,-818.3285714868518
95,20832,-809.7362704094197
96,21332,-801.3256952933585
97,21832,-793.0844652723325
98,22332,-785.008975097038
99,22832,-777.0977784995263
100,23332,-769.3337223422069
101,23832,-759.1664035849191
102,24332,-749.0062546662505
103,24832,-738.8344799648569
104,25332,-728.6661676845816
105,25832,-718.5011079872622
106,26332,-708.3208446042653
107,26832,-698.1406951409996
108,27332,-687.9688707265207
109,27832,-677.7571910262428
110,28332,-667.5143570474644
111,28832,-657.3062347054725
112,29332,-647.094098714482
113,29832,-636.8707998889873
114,30332,-626.537018865175
115,30832,-616.3361122292199
116,31332,-606.115560144035
117,31832,-595.8686001135939
118,32332,-585.500161322628
119,32832,-575.1246275122925
120,33332,-564.7520869494317
121,33832,-554.375331352889
122,34332,-544.0252743200276
123,34832,-533.7063442102594
124,35332,-523.385162037172
125,35832,-513.1042462858242
126,36332,-502.8581341485406
127,36832,-492.6067954267065
128,37332,-482.3531310495344
129,37832,-472.11450306988104
130,38332,-461.84379705593756
131,38832,-451.6342787816469
132,39332,-441.42390918307063
133,39832,-431.2263729675426
134,40332,-421.0507060664735
135,40832,-410.8817242913624
136,41332,-400.5795063979523
137,41832,-390.40051423010414
138,42129,-390.47352638352737
139,42498,-390.5399693217854
140,42998,-380.326886956385
141,43498,-370.1220784574652
142,43998,-359.9161467076647
143,44498,-349.71774081535364
144,44998,-339.51795836800534
145,45498,-329.3095523881295
146,45998,-319.10276926393044
147,46498,-308.9043690974269
148,46998,-298.7226766167521
149,47498,-288.487235399411
150,47998,-278.2386963807557
151,48361,-278.30376003490545
152,48634,-278.3863937135061
153,49134,-268.1730125336006
154,49634,-257.95523191216444
155,49985,-258.0324849045978
156,50267,-258.12545257892356
157,50510,-258.2383892820524
158,51010,-248.02725303696923
159,51343,-248.1268339562582
160,51843,-237.91457973549402
161,52343,-227.70358405728416
162,52843,-217.47817238248925
163,53343,-207.23799146508696
164,53843,-196.96834480087185
165,54343,-186.63604334112057
166,54597,-186.6197294928062
167,55097,-176.25729419222
168,55597,-165.84339367673954
169,56097,-155.57265960534437
170,56597,-145.34231805562828
171,57097,-145.3420645360766
172,57597,-134.93850412463559
173,58097,-124.49545592208335
174,58597,-114.19471178401501
175,59097,-103.89953818136235
176,59597,-93.60520863906912
177,60097,-93.5457909057065
178,60597,-93.48197174693722
179,61097,-93.42348042343336
180,61519,-103.63938825460058
181,62019,-103.63384170856092
182,62519,-103.60880047557481
183,63019,-103.6052469555127
184,63519,-103.62397755833892
185,64019,-103.62299873491312
186,64519,-103.69215237751405
187,65019,-103.68907203937098
188,65519,-103.70693285582462
189,66019,-103.72975801305674
190,66346,-113.97878596361858
191,66846,-113.97719429473948
192,67346,-113.97608063484773
193,67846,-113.96006597400003
194,68178,-124.2214968515509
195,68678,-124.24611384713172
196,69178,-124.22347672096508
197,69678,-134.45133899403427
198,70178,-134.43498993722437
199,70678,-134.46696606969917
200,71000,-144.7564740477677
201,71500,-144.742416238306
202,72000,-144.72458871463002
203,72302,-155.00785611029136
204,72508,-165.23159929958408
205,72924,-175.52460313931638
206,73424,-175.51674786273227
207,73649,-185.82690343665334
208,73946,-196.13593407787772
209,74181,-206.43961636174978
210,74393,-216.76151089012018
211,74598,-227.08357728055663
212,74850,-237.38329686637084
213,75092,-247.6903638879885
214,75402,-257.98473822228016
215,75700,-268.28040754063056
216,75978,-278.5800505941316
217,76468,-288.8393131594757
218,76914,-299.0732808181622
219,77414,-299.0738290052157
220,77872,-309.3354009637017
221,78372,-309.4966844863646
222,78791,-319.76450764601555
223,79090,-330.0681159168464
224,79390,-340.36281717065947
225,79676,-350.6424578515492
226,80176,-350.66168850515476
227,80676,-350.65210701063586
228,81176,-350.68819338016806
229,81676,-350.6933122821213
230,82176,-350.70293211827635
231,82676,-350.70117033061
232,83176,-350.7048787881756
233,83676,-350.70235110940433
234,84176,-350.70408392601144
235,84676,-350.70023682579705
236,85176,-350.700532520931
237,85676,-350.70859362780703
238,86176,-340.40962860711625
239,86676,-330.12936351484893
240,87176,-330.1287714084176
241,87676,-330.1236092278809
242,88176,-330.1222513579667
243,88676,-330.1178531708322
244,89176,-330.11652776825724
245,89676,-330.1178124620257
246,90176,-330.11736102067886
247,90676,-330.1283911163371
248,91176,-330.1085950956159
249,91676,-330.10905111370994
250,92176,-330.1077490603607
251,92533,-330.0894188302534
252,92949,-330.06700541663844
253,93449,-330.0668432072861
254,93949,-330.0784549899826
255,94449,-319.80092064436377
256,94949,-309.5029049968681
257,95449,-299.223823024199
258,95949,-299.2297220467837
259,96449,-288.92331436276527
260,96949,-288.91993973721617
261,97449,-288.915364123329
262,97949,-288.9352204741032
263,98449,-288.93407788630964
264,98949,-288.9363030740529
265,99449,-288.9621296218278
266,99949,-278.6470014083041
