episode,timestep,reward,raw_reward
1,90,-1107.7113832566058,-1107.7113832566058
2,141,-1102.9358483967017,-1098.1603135367973
3,214,-1095.3291800573352,-1080.115843378602
4,324,-1117.1479096517683,-1182.604098435067
5,397,-1115.1848750105844,-1107.332736445849
6,486,-1109.619737547814,-1081.794050233963
7,598,-1104.086975346425,-1070.8904021380902
8,706,-1102.5888092129492,-1092.1016462786197
9,801,-1098.7927151800955,-1068.4239629172666
10,927,-1093.2150971525666,-1043.0165349048075
11,1073,-1090.1875433716887,-1059.9120055629073
12,1256,-1093.9042154108924,-1134.7876078421334
13,1365,-1095.352585947932,-1112.733032392407
14,1539,-1097.7049589993005,-1128.2858086670892
15,1633,-1094.5431647376722,-1050.2780450748785
16,1733,-1091.849096249964,-1051.438068934341
17,1811,-1089.131445833221,-1045.6490391653315
18,2034,-1105.672601002624,-1386.8722388824783
19,2173,-1107.4571155384187,-1139.57837718272
20,2288,-1108.1570422840352,-1121.4556504507495
21,2457,-1110.8283096953724,-1164.2536579221164
22,2588,-1110.459036456929,-1102.704298449617
23,2688,-1109.1001765492022,-1079.2052585792126
24,2915,-1113.9641622114323,-1225.8358324427263
25,3091,-1115.7783030436406,-1159.3176830166387
26,3193,-1114.1201299254803,-1072.6658019714785
27,3288,-1113.3347286329981,-1092.914295028461
28,3411,-1111.9116551168586,-1073.4886701810917
29,3615,-1111.5019498940562,-1100.0302036555922
30,4115,-1088.1533372933022,-411.0435718714343
31,4363,-1088.7473636504556,-1106.56815436505
32,4455,-1087.1496883951747,-1037.6217554814652
33,4575,-1085.6780781525651,-1038.5865503890623
34,4734,-1084.3878754577986,-1041.811186530507
35,4920,-1084.735330425879,-1096.5487993406118
36,5090,-1084.5769944022022,-1079.0352335735067
37,5210,-1084.6870385025534,-1088.648626115195
38,5374,-1084.9423196994953,-1094.3877239863484
39,5488,-1085.1132342316457,-1091.607986453361
40,5629,-1085.499053811745,-1100.546017435614
41,5728,-1085.5603864747955,-1088.0136929968112
42,5907,-1085.9632826648635,-1102.482026457658
43,6015,-1086.1640813245351,-1094.597625030742
44,6156,-1086.2102065587014,-1088.1935916278494
45,6313,-1086.3985648168234,-1094.6863281741928
46,6465,-1086.5658725476844,-1094.0947204364252
47,6628,-1086.6831958329929,-1092.0800669571802
48,6748,-1086.847062440128,-1094.548792975483
49,6917,-1086.983764162779,-1093.545446850023
50,7018,-1087.0047347625762,-1088.032294152636
51,7184,-1087.202063336658,-1097.0684920407516
52,7287,-1087.1627069775052,-1085.1555326607092
53,7428,-1087.1920747570418,-1088.7191992929436
54,7541,-1087.2631049817853,-1091.027706893199
55,7695,-1087.3502449220964,-1092.055801698888
56,7800,-1087.1856699711243,-1078.1340476676685
57,7920,-1087.2361650798905,-1090.0638911707942
58,8021,-1087.2215451752643,-1086.3882106115786
59,8118,-1087.240151449686,-1088.3193153661384
60,8233,-1087.1071836725046,-1079.2620848188035
61,8353,-1087.3003330407978,-1098.889295138394
62,8499,-1087.4772654250344,-1098.2701408634578
63,8632,-1087.389933776578,-1081.9753715722745
64,8756,-1087.1639036352763,-1072.9240047332692
65,9040,-1087.5282834749976,-1110.8485932171554
66,9206,-1087.6804828060979,-1097.573439327622
67,9367,-1087.5507876867614,-1078.9909098105584
68,9476,-1087.3912053534023,-1076.699189018325
69,9581,-1087.2178462714603,-1075.4294286994082
70,9756,-1087.1697073426024,-1083.8481212514039
71,9982,-1087.2075862967645,-1089.8591130881227
72,10129,-1087.0480921222234,-1075.7240057298318
73,10286,-1086.8668867122171,-1073.8200971917695
74,10478,-1087.1585525121732,-1108.45015590896
75,10611,-1087.0025360326188,-1075.4573165455895
76,10850,-1087.0971398747056,-1094.1924280312173
77,11076,-1087.2325591946849,-1097.5244275131074
78,11232,-1087.1179388359083,-1078.2921712100963
79,11489,-1087.649008334721,-1129.0724292421223
80,11723,-1088.0702313637194,-1121.346850654592
81,11897,-1088.012671250409,-1083.4078621855886
82,12061,-1087.8413581610632,-1073.9649979240519
83,12227,-1087.7884022158878,-1083.4460147115044
84,12422,-1087.7489801837567,-1084.4769515168744
85,12695,-1088.0401529164499,-1112.4986624626822
86,12949,-1088.1379846653988,-1096.453683326062
87,13156,-1088.0724645807002,-1082.437737296617
88,13391,-1088.118730124121,-1092.143832401704
89,13570,-1088.0548975454599,-1082.4376306233075
90,13770,-1087.9394496203597,-1077.6645842864402
91,14019,-1088.308587244539,-1121.5309734206824
92,14184,-1088.1892249754749,-1077.3272584906315
93,14538,-1088.480803589306,-1115.3060360617765
94,14744,-1088.4479994080095,-1085.3972105474083
95,15079,-1089.0152692573556,-1142.3386350959092
96,15357,-1089.0126324145238,-1088.7621323454882
97,15777,-1089.4886021839636,-1135.1817000502
98,16277,-1080.1023121204948,-169.6321759640201
99,16664,-1080.666873575671,-1135.9938961829193
100,17164,-1070.8131947891386,-95.2989949224239
