episode,timestep,reward,raw_reward
1,154,-1263.9261393028423,-1263.9261393028423
2,246,-1213.7446670379231,-1163.5631947730042
3,439,-1212.8658776569307,-1211.1082988949458
4,542,-1215.2468399880343,-1222.389726981345
5,679,-1186.4209128537937,-1071.1172043168317
6,817,-1168.49973221131,-1078.8938289988907
7,996,-1154.4410208870054,-1070.0887529411775
8,1132,-1146.8092101033671,-1093.386534617899
9,1269,-1139.0949714466906,-1077.3810621932791
10,1511,-1132.345424134702,-1071.5994983268035
11,1642,-1126.6085741733648,-1069.2400745599937
12,1829,-1125.6756806509295,-1115.4138519041408
13,1948,-1119.9234647339324,-1050.8968737299695
14,2107,-1117.6270553424408,-1087.7737332530503
15,2607,-1053.1219722231613,-150.05080855324718
16,3107,-997.5399256847475,-163.80922760853733
17,3240,-1000.8134473799888,-1053.18979450385
18,3570,-1007.0048793107702,-1112.2592221340515
19,3874,-1009.2540242389802,-1049.7386329467572
20,4286,-1012.0943411764447,-1066.0603629882703
21,4529,-1013.9596323342657,-1051.2654554906878
22,4817,-1015.6682399272026,-1051.5489993788758
23,5303,-1020.669825269413,-1130.7047027980393
24,5533,-1021.8143501850626,-1048.1384232450132
25,5999,-1032.5052467261035,-1289.0867637110855
26,6229,-1033.3901643136999,-1055.51310400361
27,6427,-1034.0044474972415,-1049.9758102693247
28,6693,-1034.6578935501523,-1052.3009369787394
29,7193,-1006.2134598954251,-209.769317563067
30,7400,-1007.7980511375733,-1053.7511971598715
31,7579,-1009.2977327544014,-1054.2881812592404
32,8079,-982.682078671334,-157.59680209625145
33,8287,-984.8183422473165,-1053.1787766787565
34,8531,-986.7782320819385,-1051.4545966244632
35,9031,-962.5138361988093,-137.52437617241523
36,9240,-964.990385786247,-1051.66962134657
37,9740,-942.1518379922829,-119.96411740957215
38,10240,-920.4025936014766,-115.6805511416441
39,10740,-899.6924864378964,-112.70841422184196
40,11060,-906.151437912629,-1158.050545427206
41,11560,-887.4886857065295,-140.97859746255025
42,12060,-871.9924371391405,-236.64624587618982
43,12329,-876.3582648335395,-1059.7230279982998
44,12680,-881.0207602603692,-1081.5080636140478
45,13180,-863.8131227134995,-106.67707065123486
46,13409,-868.2589274623671,-1068.3201411614084
47,13909,-854.1848818294019,-206.7787827129993
48,14409,-839.5100413045434,-149.79253663618977
49,14909,-824.189281808033,-88.79282597553888
50,15409,-810.4469712956669,-137.0737561897258
51,15736,-815.5905221314842,-1072.7680639223545
52,16236,-800.7930337295072,-46.12112522867422
53,16736,-787.5293580451016,-97.81822245601373
54,16951,-792.7256205990084,-1068.1275359560645
55,17451,-780.0175694439048,-93.78280706831067
56,17947,-786.2766757953259,-1130.5275251234889
57,18374,-791.4216532263897,-1079.5403893659584
58,18874,-779.7173956826038,-112.57471568681026
59,19374,-768.7638745504988,-133.45964888841232
60,19874,-757.5261041425234,-94.4976500719703
61,20374,-746.7318163940972,-99.07455148853084
62,20874,-736.0244590535474,-82.87566128000707
63,21217,-742.1354599821531,-1121.017517555711
64,21713,-747.9781312564144,-1116.0664215348668
65,22213,-737.8591275737152,-90.24289188096935
66,22713,-727.8972455801452,-80.37491599809478
67,22928,-732.7533548079219,-1053.2565638411904
68,23428,-723.2722847312401,-88.04058959355172
69,23714,-728.1682902540814,-1061.0966658072866
70,24214,-718.8318446612692,-74.61709875723098
71,24714,-709.8268840885689,-79.47964399954617
72,25214,-700.9902826516364,-73.59158062943331
73,25714,-692.3651752315018,-71.35744098180881
74,26214,-683.7860659758896,-57.511090316195975
75,26714,-675.2788819889114,-45.7472669525238
76,27080,-680.2691164749053,-1054.536702924449
77,27296,-685.1867954974653,-1058.9304012120228
78,27796,-677.3728493349023,-75.6989948175549
79,28296,-669.7230549227003,-73.03909077094576
80,28796,-662.4630194885027,-88.92022018688891
81,29296,-655.068359256917,-63.49554073005654
82,29796,-647.5755607371027,-40.65888063214478
83,30296,-640.9641931129049,-98.8320479286901
84,30515,-645.8628385101889,-1052.4504064847572
85,31015,-639.0934371033222,-70.46371892652311
86,31515,-632.1603271552217,-42.84598156667603
87,32015,-625.5796551500583,-59.64186270601253
88,32515,-619.2017606479018,-64.32493896028427
89,32765,-624.0973790295129,-1054.9117966112935
90,33265,-618.782326594321,-145.7426598622401
91,33765,-612.791404862919,-73.608449036739
92,34265,-606.5900416635682,-42.26599052264195
93,34765,-601.0462744815702,-91.01969373775219
94,35265,-595.4275616797312,-72.88727110870732
95,35765,-589.7418752705026,-55.28735280301998
96,36006,-594.5882923368466,-1054.9979136395139
97,36506,-589.0676073157823,-59.081845293615096
98,37006,-583.4617894349718,-39.69745499635009
99,37506,-578.0159070770704,-44.31943600273451
100,37693,-582.713498536686,-1047.7750530386236
101,37899,-580.6009632408822,-1052.6726097224696
102,38399,-569.7157252591898,-75.03939660376766
103,38899,-558.3640450826784,-75.94028124380335
104,39183,-556.6786961213332,-1053.8548308468307
105,39683,-546.680363779393,-71.28397012281027
106,40183,-536.3310888648095,-43.96633754053704
107,40505,-536.1374590912318,-1050.7257755834055
108,41005,-525.6891495877084,-48.55558426556428
109,41324,-525.4833867154751,-1056.8047749699483
110,41779,-525.5940874703551,-1082.6695738147957
111,42279,-515.3190818604694,-41.7395135714358
112,42779,-504.6082011992175,-44.32578577894842
113,43279,-494.7132358816947,-61.40034197768982
114,43779,-484.5973221093178,-76.18235601536327
115,44099,-493.6145906318459,-1051.7776608060444
116,44438,-502.45214864348736,-1047.5650287726887
117,44938,-492.53031034790513,-61.00596494561656
118,45438,-482.24371978672707,-83.60016601625976
119,45938,-472.19316987710573,-44.68364198462433
120,46201,-472.10619280979665,-1057.3626562573536
121,46701,-462.34410655447675,-75.05682995869434
122,47201,-452.5837957125475,-75.51791518595272
123,47701,-441.66419701262845,-38.744832806123135
124,48201,-431.5788662073854,-39.60534272071716
125,48699,-429.4266465812621,-1073.8648010987686
126,49176,-429.5999004059667,-1072.8384864740651
127,49462,-429.6216219300692,-1052.147962679571
128,49962,-419.4984972334283,-39.98846731465094
129,50203,-427.9358481575749,-1053.5044099777315
130,50481,-427.9544068585833,-1055.6070672607095
131,50741,-427.97603124322035,-1056.4506197229528
132,51082,-436.9123633341259,-1051.2300111868115
133,51582,-426.78976366981226,-40.91881024737461
134,51860,-426.7280293504075,-1045.281164683998
135,52108,-435.7790673212637,-1042.628173258035
136,52608,-426.00484346001855,-74.24723522205365
137,53108,-425.2623498315298,-45.71475456069753
138,53448,-434.6158961909678,-1051.03518708545
139,53948,-434.7197506380666,-123.0938589317176
140,54448,-423.8193324367658,-68.00872529711968
141,54948,-423.44654735130644,-103.70008891661872
142,55448,-421.4904268158875,-41.0341923342998
143,55948,-411.28341552401287,-39.02189881083641
144,56448,-401.18191676791366,-71.35818800411332
145,56948,-400.522035355845,-40.688929444367226
146,57448,-390.5938410368674,-75.50070926364795
147,57948,-388.9140792019944,-38.80259922570037
148,58448,-387.8963508545085,-48.01970188759889
149,58948,-387.49637955757964,-48.79569628265576
150,59448,-386.7447579790896,-61.911598340730734
151,59948,-376.4131899061764,-39.611256631035545
152,60448,-376.4770739451654,-52.509529127568236
153,60948,-376.24828690455826,-74.93951839530736
154,61448,-366.0913343282111,-52.43227832134471
155,61948,-365.7070953139127,-55.35890563847054
156,62448,-354.9285232282376,-52.670316555972754
157,62700,-354.634770543981,-1050.1651209402976
158,63200,-353.96148149490676,-45.24581077938759
159,63700,-353.2404506767221,-61.35656706994279
160,64200,-352.8479799465697,-55.25057705673204
161,64700,-352.2776269903367,-42.03925586523596
162,64980,-361.96867517436453,-1051.9804796827902
163,65480,-351.26174647802395,-50.32464792165103
164,65980,-340.50078522081856,-39.970295814329894
165,66480,-340.0464822645891,-44.81259625801739
166,66980,-339.8345689136902,-59.18358090820106
167,67480,-329.9032529091262,-60.124963384789574
168,67980,-329.5717881951735,-54.89411819828973
169,68480,-319.3896787524599,-42.88572153592882
170,68727,-329.15273040072316,-1050.9222635835574
171,69227,-328.86332926891265,-50.53953081849771
172,69727,-328.52406895931216,-39.6655496693797
173,70227,-328.21180519181377,-40.13106423197246
174,70727,-327.9639974678668,-32.730317921504266
175,71227,-327.9429153030448,-43.6390504703199
176,71727,-317.96792814304115,-57.037986924083825
177,72227,-307.884214919617,-50.55907886960985
178,72727,-307.46542472717016,-33.819975572876146
179,73227,-307.1583051890082,-42.32713695474791
180,73727,-306.630266048979,-36.11630618396446
181,74056,-316.54698690331423,-1055.1676261635807
182,74556,-316.6107277149412,-47.03296179484331
183,75056,-315.92532659417566,-30.29193585213287
184,75403,-315.92974788479745,-1052.8925355469362
185,75903,-315.5243427391048,-29.923204357251187
186,76403,-315.6521708480391,-55.62879246010884
187,76903,-315.92082211280626,-86.5069891827278
188,77224,-325.8132677717548,-1053.5695048551395
189,77724,-315.68609167114266,-42.19418655007972
190,78224,-314.6240616687093,-39.53965961890061
191,78724,-314.18434719852473,-29.637002018283162
192,79224,-314.02224384176,-26.055654846162255
193,79546,-323.6735085476414,-1056.146164325906
194,80046,-323.25940101403927,-31.476517748488696
195,80355,-333.23677407275727,-1053.0246586748235
196,80804,-333.16202459637844,-1047.5229660016353
197,81304,-332.8267370453731,-25.55309019307582
198,81565,-343.02636573129615,-1059.6603235886573
199,81907,-353.09639121210654,-1051.321984083771
200,82407,-342.926427125102,-30.77864433817034
201,82695,-342.88973255716604,-1049.0031529288742
202,82947,-352.6574541913592,-1051.811560023083
203,83447,-352.1373677387466,-23.93163598254479
204,83589,-352.3650858029733,-1076.6266372694931
205,83802,-362.21581618947215,-1056.3570087727066
206,84302,-362.25534806556857,-47.919525150164596
207,84802,-352.1117290340587,-36.36387243242939
208,85302,-352.0217188441225,-39.55456527194364
209,85802,-341.7323428553932,-27.86717609701682
210,86302,-331.71954404950554,-81.38969322602924
211,86802,-331.70437044110287,-40.222152731162375
212,87128,-341.7278253030843,-1046.6712719770885
213,87628,-342.00241722545286,-88.85953421455349
214,88128,-341.90054776296705,-65.99540976678237
