episode,timestep,reward,raw_reward
1,500,-45.59170195624396,-45.59170195624396
2,617,-534.1930382589443,-1022.7943745616446
3,1063,-701.2109982623151,-1035.2469182690566
4,1325,-785.4814697386483,-1038.292884167648
5,1510,-834.3738118518838,-1029.9431803048262
6,1705,-868.3090583776342,-1037.985291006386
7,1876,-892.8678569189699,-1040.2206481669846
8,2056,-911.0745888308905,-1038.5217122143351
9,2267,-925.1188465224773,-1037.4729080551715
10,2443,-936.8210064348244,-1042.1404456459497
11,2588,-944.6483865244165,-1022.9221874203375
12,2919,-952.1407944056077,-1034.5572810987098
13,3237,-958.6292105255551,-1036.4902039649235
14,3737,-891.3015025896922,-16.041299423474165
15,4087,-900.8701597918833,-1034.8313606225604
16,4294,-908.9478650514936,-1030.113443945645
17,4794,-855.7900052518044,-5.264248456774768
18,5238,-865.480637781549,-1030.2213907872106
19,5642,-874.0878832578735,-1029.0183018317111
20,5978,-881.8290904428899,-1028.9120269582031
21,6203,-888.72462019041,-1026.6352151408082
22,6505,-894.7640002784563,-1021.5909821274296
23,6719,-900.4600134482156,-1025.7723031829216
24,7219,-863.090305812895,-3.587030200524871
25,7719,-829.0000860883126,-10.834812698337576
26,8049,-836.8650319940256,-1033.4886796368494
27,8313,-843.9550371997263,-1028.2951725479465
28,8574,-850.649545263479,-1031.401262984801
29,8928,-856.826499823303,-1029.7812274983773
30,9428,-828.936679283431,-20.1318836271379
31,9928,-802.943285792776,-23.14148107313073
32,10428,-778.5366556751973,-21.93112203024952
33,10760,-785.9446506964676,-1023.000491377119
34,11260,-763.3442180659474,-17.52994125878185
35,11760,-741.9883499565661,-15.888834237602893
36,12260,-721.7472156928058,-13.307516461193158
37,12539,-729.8674317168343,-1022.1952085818601
38,12746,-737.589324830048,-1023.2993700189529
39,13246,-718.9909783259575,-12.253811170517682
40,13746,-701.2701956723051,-10.159672179869899
41,14246,-684.3806430227389,-8.798537040088293
42,14746,-668.1873841033712,-4.263768409291215
43,15246,-652.9764407731956,-14.116820905819214
44,15746,-638.4162100981482,-12.326291071112456
45,16246,-624.4428060152045,-9.613026365680335
46,16746,-610.994256047311,-5.809507492102544
47,17066,-619.7750200416002,-1023.6901637789048
48,17566,-606.9764857751496,-5.445375251968978
49,17962,-615.4867783102942,-1023.980819997236
50,18462,-603.2990717245633,-6.101449023749763
51,18962,-591.5400350352534,-3.5882005697538992
52,19462,-580.2767256271597,-5.8479458143874465
53,19962,-569.4676349413496,-7.394919279225573
54,20462,-559.101348592271,-9.688172091105669
55,20962,-549.0833031297153,-8.108848151705157
56,21462,-539.3307457013308,-2.9400871401807493
57,21835,-547.8215423650281,-1023.3061555320767
58,22335,-538.4455824864853,-4.015869409549738
59,22835,-529.3543743761355,-2.0643039758520674
60,23335,-520.5668492330757,-2.102865792545283
61,23835,-512.078468931865,-2.775650859221452
62,24335,-503.86289005311943,-2.7125784496395022
63,24835,-495.8939151509263,-1.8174712149556145
64,25335,-488.17142833890847,-1.6547591817790595
65,25835,-480.7402420482441,-5.144319445723512
66,26335,-473.4975227963751,-2.7207714248907626
67,26835,-466.5351078002911,-7.015718058745372
68,27335,-459.82989989096603,-10.580969966186903
69,27835,-453.2536750884944,-6.070388520424854
