episode,timestep,reward,raw_reward
1,154,-1062.2777139904363,-1062.2777139904363
2,246,-1057.0893930269954,-1051.9010720635542
3,453,-1056.70321817736,-1055.9308684780888
4,694,-1062.7863198452983,-1081.035624849113
5,832,-1055.521616139686,-1026.4628013172369
6,1021,-1052.6247016310053,-1038.1401290876015
7,1237,-1051.372859179761,-1043.8618044722948
8,1439,-1050.0903415529456,-1041.112718165238
9,1544,-1049.2337357765591,-1042.3808895654672
10,1736,-1046.9398675335049,-1026.2950533460178
11,2009,-1046.7468799785872,-1044.8170044294113
12,2081,-1044.5165710864696,-1019.9831732731758
13,2204,-1043.302571838149,-1028.7345808583034
14,2414,-1043.4351175265747,-1045.1582114761056
15,2536,-1042.3594793252273,-1027.300544506362
16,3005,-1045.9921036767114,-1100.4814689489726
17,3329,-1045.5736917594872,-1038.8791010839018
18,3829,-992.1072308420789,-83.17739524613607
19,4202,-994.8800734306711,-1044.7912400253294
20,4499,-999.0808323939387,-1078.8952526960238
21,4622,-1000.5550563564601,-1030.0395356068861
22,4718,-1001.8552387388037,-1029.1590687680177
23,5218,-963.5029513077512,-119.7526278245954
24,5558,-966.5208584338706,-1035.9327223346224
25,6058,-935.419909356162,-188.9971314911581
26,6558,-903.5957502136582,-107.99177165106629
27,7058,-874.4724370586026,-117.2662950271572
28,7152,-879.9145342183967,-1026.8511575328373
29,7470,-885.9033514638256,-1053.5902343358302
30,7576,-890.4660318148216,-1022.7837619937038
31,7688,-894.7597278652966,-1023.5706093795449
32,7849,-899.0732182841401,-1032.791421268295
33,7958,-902.8956203481454,-1025.2124863963127
34,8057,-906.3916350567258,-1021.7601204398766
35,8259,-910.1585700281546,-1038.2343590567348
36,8368,-913.3021962994015,-1023.3291157930428
37,8540,-916.4571922765881,-1030.037047455309
38,8888,-919.7796518847266,-1042.710657385845
39,9042,-922.4963634906535,-1025.7314045158757
40,9138,-925.0073982736236,-1022.9377548094611
41,9366,-927.6587432181309,-1033.712540998423
42,9718,-930.3929091458124,-1042.493712180751
43,9810,-932.5054874020493,-1021.233774164004
44,9896,-934.5235129607473,-1021.2986119847624
45,10396,-914.4761455470679,-32.39197934516797
46,10515,-916.8494216118235,-1023.6468445258294
47,10781,-919.2166648112069,-1028.1098519828429
48,10876,-921.3449537476345,-1021.374533759735
49,10974,-923.3819622819874,-1021.1583719309301
50,11474,-905.2657827675771,-17.572986561471676
51,11583,-907.5424790527587,-1021.3772933118454
52,11691,-909.7304238072255,-1021.3156062850296
53,12191,-892.8783305719493,-16.569482337584507
54,12363,-895.3712228256294,-1027.494512270676
55,12863,-879.4340693374879,-18.82778097784411
56,13108,-882.2755521553727,-1038.5571071390334
57,13400,-885.0944670293721,-1042.9536999733396
58,13521,-887.4628056890552,-1022.4581092909934
59,13698,-889.7551971018036,-1022.7138990412067
60,13951,-892.3118953652477,-1043.1570929084462
61,14158,-894.756913084582,-1041.4579762446463
62,14380,-897.1226736861431,-1041.43407038137
63,14625,-899.4738591353583,-1045.247356986703
64,14861,-901.4750865294382,-1027.5524123564646
65,15094,-903.628146821121,-1041.4240054888312
66,15594,-890.2386842559725,-19.923617521312774
67,15735,-892.2608592858556,-1025.7244112581368
68,15845,-894.1692075234366,-1022.0285394413664
69,15992,-896.0717247036026,-1025.4428929548878
70,16245,-898.0014639271053,-1031.1534703487926
71,16434,-899.7855330129834,-1024.6703690244503
72,16681,-901.6896321190361,-1036.8806686487856
73,16922,-903.6168885127,-1042.379348856501
74,17422,-891.7479367496157,-25.314458044460242
75,17611,-893.5158543011024,-1024.3417531111197
76,17774,-895.2722663608637,-1027.0031708429528
77,17928,-896.9712794292076,-1026.096272623347
78,18428,-885.7263014646634,-19.862998194757406
79,18567,-887.4905869314953,-1025.1048533443807
80,18755,-889.3328687138635,-1034.873129520968
81,18980,-891.1082262102835,-1033.1368259238764
82,19480,-880.527280739034,-23.47069756782215
83,19761,-882.3524896893174,-1032.0196236125473
84,19891,-884.1905935947483,-1036.753217745516
85,20391,-874.0459362108635,-21.89471596454128
86,20891,-864.1914290480813,-26.558320211597987
87,21081,-866.1863269766047,-1037.7475488296132
88,21238,-868.0848627861689,-1033.2574782182667
89,21345,-869.9304536982049,-1032.3424539573755
90,21461,-871.7335402610629,-1032.2082443554248
91,21609,-873.5117091801018,-1033.5469118935978
92,22109,-864.2680253085523,-23.09279299754474
93,22226,-866.082345229705,-1032.9997779757573
94,22373,-867.8722478317042,-1034.3331898176266
95,22543,-869.6451818373808,-1036.300978370982
96,22664,-871.3678215476572,-1035.0185940239232
97,22851,-873.0489729558412,-1034.4395081415164
98,23025,-874.6957386240639,-1034.4320084416477
99,23299,-876.3335102175214,-1036.8351263763593
100,23431,-877.8971809323527,-1032.700581700661
101,23567,-877.6290899980341,-1035.468620558564
102,23715,-877.4493663322319,-1033.9287054833414
103,23850,-877.2279498136992,-1033.789216624816
104,23952,-876.7400270517907,-1032.243348658258
105,24077,-876.8114540310988,-1033.60549924803
106,24577,-866.614299977244,-18.424723702114022
107,24693,-866.5194254389102,-1034.3743506389187
108,25193,-856.3390021043455,-23.070384708770632
109,25308,-856.2378882914256,-1032.2695082735017
110,25448,-856.2973866978278,-1032.2448939862363
111,25948,-846.0963647105891,-24.714805705534154
112,26311,-846.2719334386946,-1037.5400460837232
113,26469,-846.3148008027517,-1033.0213172640215
114,26624,-846.1938075096197,-1033.0588821628905
115,26889,-846.2816006422718,-1036.079857771556
116,27032,-845.5945833846748,-1031.7797431892766
117,27532,-835.3637489501161,-15.795657628048183
118,27687,-844.8589801864222,-1032.7005188767432
119,28187,-834.8192669461082,-40.81991599393689
120,28300,-834.3475949413655,-1031.728052221765
121,28466,-834.3516389810178,-1030.443939572091
122,28966,-824.2225455711633,-16.24972778258819
123,29466,-823.1970810681283,-17.206177521070877
124,29849,-823.2240763927543,-1038.6322547972381
125,30022,-831.6354872349065,-1030.138215706363
126,30522,-830.7163907188108,-16.082120041489624
127,30630,-839.8369631956976,-1029.323542715848
128,31130,-829.7610563687499,-19.260474838071016
129,31239,-829.5026432142478,-1027.7489188856339
130,31345,-829.5564894748205,-1028.1683880509822
131,31454,-829.5899737308532,-1026.9190349828127
132,31553,-829.5361447880346,-1027.4085269864233
133,31851,-829.5829996421983,-1029.897971812681
134,31995,-829.6466560057429,-1028.1257567943178
135,32123,-829.5496254914729,-1028.531307629731
136,32266,-829.588506807518,-1027.2172473975666
137,32420,-829.5433688603403,-1025.5232527375374
138,32531,-829.3778967366327,-1026.1634450150857
139,32734,-829.3761942851702,-1025.5611593696408
140,32853,-829.4153963681727,-1026.8579631097118
141,33030,-829.3362866930843,-1025.8015734895716
142,33530,-819.1586916854421,-24.73421141654788
143,34030,-809.5229451570594,-57.659121325726154
144,34464,-809.5698272508539,-1025.986821364202
145,34964,-809.4496956978194,-20.37882404171842
146,35464,-799.5735146724056,-36.02874198445882
147,35817,-799.5944120990266,-1030.199594644948
148,36317,-789.6659089215982,-28.524216016878526
149,36817,-779.6083521010161,-15.40268987271397
150,37086,-789.8305037950902,-1039.7881559688822
151,37294,-789.9787728844811,-1036.204202250948
152,37452,-790.0726912960649,-1030.7074474433987
153,37561,-800.13167264612,-1022.4676173431059
154,37711,-800.1931230413867,-1033.639551797348
155,38000,-810.3531328318933,-1034.8287600284987
156,38194,-810.3344996369746,-1036.6937876471627
157,38361,-810.2037432154867,-1029.878057824569
158,38478,-810.2646313492063,-1028.546922662953
159,38792,-810.485009104027,-1044.751674523278
160,39003,-810.4169925380145,-1036.3554363071908
161,39187,-810.3392462247814,-1033.6833449213411
162,39398,-810.2521581692974,-1032.7252648329693
163,39612,-810.1557861345509,-1035.6101535120386
164,39840,-810.1652423243072,-1028.4980313320837
165,40024,-810.1737249294099,-1042.272265999114
166,40172,-820.2374846878134,-1026.2995933616612
167,40328,-820.2391108764994,-1025.8870301267293
168,40518,-820.4473100860548,-1042.8484603969132
169,40637,-820.4504272438015,-1025.7546087295577
170,40739,-820.3794030579662,-1024.0510517652594
171,40847,-820.3630086596686,-1023.0309291946866
172,41006,-820.4412576328225,-1044.705565964177
173,41106,-820.2392256444203,-1022.176150016297
174,41606,-820.6563618151713,-67.0280751195319
175,42106,-811.2438215530601,-83.08772690002135
176,42225,-811.2031940854097,-1022.9404240778912
177,42336,-811.1824361513914,-1024.0204792215134
178,42836,-811.766577658415,-78.27714889714207
