episode,timestep,reward
1,256,-1022.9382085059866
2,376,-1022.5779387400455
3,434,-1020.8066794274115
4,589,-1020.3580687696174
5,668,-1019.9770521901457
6,749,-1019.7465815672695
7,842,-1019.7391539259642
8,938,-1019.7201106544612
9,1014,-1019.5790282732107
10,1102,-1019.46150369711
11,1181,-1019.4305301855092
12,1259,-1019.3570875023826
13,1340,-1019.3299239690424
14,1444,-1019.313199482049
15,1526,-1019.2582283780641
16,1765,-1019.217680809467
17,1825,-1019.1144758812535
18,1915,-1019.0992151065665
19,1985,-1019.0719833402949
20,2056,-1019.0512271046553
21,2167,-1019.0867606338745
22,2249,-1019.1245066235963
23,2344,-1019.1360653276193
24,2434,-1019.1541207590266
25,2531,-1019.2083849996009
26,2623,-1019.2869373863327
27,2744,-1019.3240023712465
28,2847,-1019.4232841021233
29,2958,-1019.4994460629251
30,3097,-1019.5914995082825
31,3264,-1019.7605479525957
32,3367,-1019.8747152684117
33,3538,-1020.0192561363965
34,3652,-1020.1662950749771
35,3817,-1020.2854575993476
36,3975,-1020.4427609457975
37,4120,-1020.5661422927994
38,4252,-1020.6814114333364
39,4385,-1020.7941700177323
40,4505,-1020.8920317575214
41,4627,-1021.0166380664466
42,4744,-1021.0942998355545
43,4850,-1021.1814371289026
44,4954,-1021.268023744457
45,5095,-1021.3626170360226
46,5400,-1021.431816726954
47,5589,-1021.4947581011709
48,5762,-1021.549985092954
49,6262,-1000.7038119737651
50,6762,-980.6919703846323
51,6911,-981.56811318662
52,7411,-962.6981896647374
53,7911,-944.5555807055362
54,8411,-927.0862443457016
55,8911,-910.2591706809322
56,9411,-894.0266659160218
57,9728,-896.2579978689935
58,10228,-880.8064070824691
59,10377,-883.1824071170533
60,10877,-868.4646633582114
61,11017,-870.9755912595141
62,11517,-856.9608698275522
63,12017,-843.6062003035378
64,12517,-830.4509148427832
65,12678,-833.3895856276071
66,12835,-836.2422637800327
67,13134,-839.0287817955314
68,13278,-841.7238907998837
69,13497,-844.3518445349771
70,13683,-846.9059874620958
71,13870,-849.3845044675868
72,14011,-851.8044076218549
73,14223,-854.1545440379361
74,14553,-856.4332992794454
75,14720,-858.6594965329923
76,14897,-860.8394813495578
77,15397,-849.6805848761622
78,15897,-838.8177781153271
79,16397,-828.2456989454015
80,16897,-817.9198403422745
81,17397,-807.8541948581102
82,17897,-798.0196787968391
83,18397,-788.4112044881132
