episode,timestep,reward,raw_reward
1,410,-1040.2973371640776,-1040.2973371640776
2,600,-1032.737938049665,-1025.1785389352522
3,680,-1031.400931985724,-1028.7269198578417
4,823,-1030.2120070913325,-1026.6452324081586
5,898,-1029.18443517687,-1025.0741475190198
6,969,-1028.7413655297985,-1026.5260172944406
7,1068,-1028.8217545121595,-1029.3040884063269
8,1230,-1028.0182448873682,-1022.3936775138283
9,1302,-1026.9668638297228,-1018.5558153685599
10,1396,-1026.1264183754947,-1018.562409287442
11,1483,-1025.345907324486,-1017.5407968143994
12,1582,-1024.8993579542682,-1019.987314881873
13,1797,-1025.0002489445226,-1026.210940827574
14,1915,-1025.2852811064286,-1028.9906992112058
15,2015,-1025.6157290227177,-1030.241999850765
16,2175,-1025.8001878933876,-1028.5670709534377
17,2385,-1025.9302426634958,-1028.0111189852282
18,2649,-1026.462730207075,-1035.5150184479219
19,2756,-1026.4869826226925,-1026.9235261038045
20,2876,-1026.6227449733235,-1029.2022296353136
21,2995,-1026.6374895246554,-1026.9323805512959
22,3090,-1026.7549105380988,-1029.2207518204095
23,3241,-1026.7706337267443,-1027.11654387695
24,3378,-1026.8024618467223,-1027.5345086062114
25,3479,-1026.819885776428,-1027.238060089364
26,3578,-1026.8640194993516,-1027.967362572439
27,3672,-1026.8824474578573,-1027.3615743790062
28,3758,-1026.9034435197457,-1027.4703371907342
29,3863,-1026.927789114767,-1027.6094657753638
30,3962,-1026.9792154266079,-1028.4705784699904
31,4053,-1026.9885909404013,-1027.2698563542017
32,4216,-1026.998113205301,-1027.2933034171986
33,4298,-1026.982119615602,-1026.4703247452326
34,4470,-1026.95239802057,-1025.971585384509
35,4593,-1026.9241332645433,-1025.963131559643
36,4717,-1026.8718529703578,-1025.0420426738647
37,4835,-1026.8162972283078,-1024.8162905145089
38,4930,-1026.782871820585,-1025.5461317348404
39,5008,-1026.7635092813107,-1026.0277327888844
40,5113,-1026.722162548537,-1025.1096399703624
41,5190,-1026.7073293632432,-1026.1140019514937
42,5299,-1026.6808807843354,-1025.5964890491073
