episode,timestep,reward
1,500,-2.7021394315388654
2,635,-511.9584301363541
3,725,-682.0383568143935
4,977,-766.560241866674
5,1169,-818.2036467542408
6,1328,-851.8122611946137
7,1425,-875.7027067062925
8,1512,-893.4888393583554
9,1594,-907.2993939580637
10,1666,-918.3614027520629
11,1740,-927.4154080846484
12,1828,-934.9802201262705
13,1936,-941.4418173536609
14,2067,-947.118618911978
15,2185,-952.1654323316618
16,2337,-956.5720779026645
17,2494,-960.4559058959541
18,2655,-963.9079284827255
19,2772,-967.0016811230313
20,2897,-969.7910497762466
21,3023,-972.3227624334946
22,3132,-974.6507614453847
23,3277,-976.7260170572563
24,3425,-978.6506828461256
25,3544,-980.4103340255629
26,3659,-982.0361937858227
27,3776,-983.5573384308254
28,3888,-984.9651238806897
29,4017,-986.2723344670023
30,4139,-987.4924319007761
31,4257,-988.6268474423234
32,4444,-989.679092449499
33,4557,-990.7023603502752
34,4766,-991.643786635698
35,4916,-992.541183207312
36,5068,-993.3791880689464
37,5217,-994.1591742703692
38,5344,-994.9245983156285
39,5454,-995.6540520082742
40,5592,-996.3222777852519
41,5701,-996.9825675453388
42,5840,-997.5965145383673
43,5984,-998.1844345993911
44,6116,-998.7505534598771
45,6234,-999.2912690903304
46,6423,-999.8008441756994
47,6539,-1000.2930569773595
48,6683,-1000.7607302143584
49,6826,-1001.2082860972645
50,6946,-1001.642823740814
51,7055,-1002.0694923000383
52,7202,-1002.4618816153569
53,7332,-1002.8556992357843
54,7470,-1003.2356781712407
55,7666,-1003.5917429942256
56,7778,-1003.9505319699753
57,7949,-1004.2914193202677
58,8068,-1004.6111495770035
59,8230,-1004.9200336147952
60,8370,-1005.226266039143
61,8485,-1005.5255693745802
62,8647,-1005.803142202033
63,8785,-1006.0830181500721
64,8944,-1006.3412743717399
65,9053,-1006.608899154962
66,9224,-1006.8613395276916
67,9366,-1007.098568624902
68,9541,-1007.3476998934767
69,9668,-1007.7162937007766
70,9946,-1007.9804910742611
71,10116,-1008.1832672593663
72,10616,-994.3152938224032
73,11116,-980.7613356576156
74,11616,-967.5184157579987
75,12116,-954.6203815317751
76,12333,-955.6532263965852
77,12523,-956.666526874224
78,13023,-944.403257812043
79,13523,-932.4680115097927
80,14023,-920.8162662856951
81,14523,-909.457561918142
82,15023,-898.3811070528134
83,15523,-887.583912760584
84,16023,-877.0233396851687
85,16523,-866.7084290892103
86,16876,-868.5895096450997
87,17376,-858.6084287384983
88,17876,-848.8625627063229
89,18376,-839.3316003023516
90,18876,-830.0138263937104
91,19376,-820.9035811472822
92,19876,-811.9911419742692
93,20376,-803.2696289831747
94,20876,-794.7364284612947
95,21376,-786.375670571971
96,21876,-778.1901812848909
97,22376,-770.1780404964979
98,22876,-762.321653553156
99,23376,-754.6341970131335
100,23876,-747.0983461368158
101,24376,-747.0823000539707
102,24876,-736.8813333827824
103,25376,-726.6766827701676
104,25876,-716.486108946758
105,26376,-706.2474477953101
106,26876,-696.0570395681008
107,27376,-685.8827451057067
108,27876,-675.7146438440805
109,28376,-665.539259385423
110,28876,-655.3839581435066
111,29376,-645.2088442302304
112,29876,-635.0419505412018
113,30376,-624.9150624935425
114,30876,-614.7077353355234
115,31376,-604.5484184621387
116,31876,-594.3495521000857
117,32376,-584.1331903422149
118,32876,-573.944299316835
119,33376,-563.7192396359119
