episode,timestep,reward,raw_reward
1,349,-7955.149469609597,-7955.149469609597
2,403,-4818.067413900686,-1680.985358191775
3,448,-3712.3018104574053,-1500.7706035708425
4,597,-3053.4564565395726,-1076.9203947860753
5,708,-2653.351309631108,-1052.9307219972486
6,808,-2387.479452365173,-1058.1201660354998
7,926,-2197.2661211610634,-1055.9861339364045
8,1139,-2072.8614015332437,-1202.0283641385072
9,1510,-1993.4094557314056,-1357.7938893167013
10,1712,-1908.0835501432907,-1140.1503998502576
11,1847,-1834.522234060557,-1098.909073233217
12,1988,-1776.6482191443301,-1140.0340550658373
13,2107,-1722.583579921575,-1073.8079092485125
14,2217,-1675.8903662680273,-1068.878588771905
15,2310,-1635.9648637596163,-1077.0078286418652
16,2524,-1603.4149878982457,-1115.1668499776845
17,2777,-1579.5406125206705,-1197.5506064794677
18,3277,-1508.6811884358603,-304.07097899408296
19,3373,-1484.3135569696656,-1045.6961905781598
20,3482,-1463.202362891547,-1062.0896754072944
21,3590,-1444.224945518418,-1064.676598055841
22,3672,-1426.451484803588,-1053.2088097921587
23,3830,-1412.1475514314302,-1097.4610172439554
24,3991,-1398.4109920676456,-1082.4701267006058
25,4088,-1385.9023614519217,-1085.6952266745493
26,4180,-1373.5330449093094,-1064.300131344002
27,4259,-1363.0232004808786,-1089.7672453416767
28,4336,-1354.4821786958553,-1123.8745905002277
29,4450,-1345.1274200829478,-1083.1941789215307
30,4557,-1336.503838126472,-1086.4199613886733
31,4659,-1328.4700842465072,-1087.4574678475587
32,4850,-1324.105860329511,-1188.814918902638
33,4937,-1317.8562832189057,-1117.8698156795397
34,5227,-1315.4610722285008,-1236.419109545138
35,5370,-1309.3026259468265,-1099.9154523699008
36,5514,-1303.1855713099942,-1089.0886590208627
37,5665,-1297.7343366860987,-1101.4898902258674
38,5772,-1292.8912271452546,-1113.6961741340233
39,5857,-1288.0071667539798,-1102.4128718855402
40,5985,-1284.1807695569796,-1134.9512788739569
41,6069,-1279.627926802014,-1097.5142166033818
42,6206,-1276.1777154934043,-1134.7190518404063
43,6372,-1274.5056037823144,-1204.2769119165384
44,6496,-1271.291835809724,-1133.0998129883358
45,6603,-1269.132159727183,-1174.1064120953884
46,6832,-1267.4870341207848,-1193.4563818328577
47,6933,-1264.0274447159334,-1104.8863320927599
48,7077,-1262.0631207938204,-1169.7398964545257
49,7236,-1261.2020520941494,-1219.8707545099414
50,7360,-1260.354267427279,-1218.8128187506325
51,7452,-1257.5702755835816,-1118.370683398718
52,7638,-1258.4340060600582,-1302.4842603603636
53,7784,-1259.1104974609948,-1294.2880503097072
54,7947,-1260.0984376589684,-1312.4592681515574
55,8360,-1263.3560189419325,-1439.265408222
56,8465,-1262.8054486407484,-1232.5240820756046
57,8965,-1245.1504453208638,-256.47025940732476
58,9094,-1245.4649061596642,-1263.3891739712924
59,9420,-1246.9155933383745,-1331.055449703576
60,9600,-1247.2777513827712,-1268.6450760021662
61,9732,-1247.7212550273707,-1274.3314737033563
62,10232,-1233.06900232269,-339.2815873371566
63,10419,-1233.803312884405,-1279.33056771072
64,10710,-1234.4546734655705,-1275.4903900790111
65,10830,-1234.8463240165647,-1259.9119592801921
66,11330,-1220.232050622098,-270.3042799817738
67,11539,-1220.4299548188876,-1233.4916318069859
68,11874,-1222.0407206939135,-1329.9620343206436
69,12001,-1222.5940123841801,-1260.2178473223205
70,12378,-1224.593637068337,-1362.5677402751653
71,12523,-1225.2037876396348,-1267.914327630481
72,12671,-1225.6074145868286,-1254.2649278375898
73,12821,-1226.1757892990054,-1267.0987685757382
74,12983,-1226.7845456020268,-1271.2237557225894
75,13483,-1216.1083943180333,-426.07319930250634
76,13647,-1216.3776058775084,-1236.5684728381461
77,13786,-1217.0608572831193,-1268.9879641095508
78,14038,-1217.1351294919489,-1222.854089571823
79,14230,-1217.2328670914176,-1224.856399849988
80,14432,-1217.5642359754352,-1243.742377812803
81,14587,-1217.7937091194092,-1236.1515606373393
82,14942,-1217.9412137830898,-1229.8890915412164
83,15158,-1217.8779924602366,-1212.6938439862508
84,15402,-1218.076302026037,-1234.535995987477
85,15611,-1218.2635993524086,-1233.9965747676351
86,15779,-1218.4162360548285,-1231.3903557605083
87,16273,-1219.5683906793993,-1318.6536883925019
88,16425,-1219.9194175266205,-1250.458753234869
89,16720,-1219.665085433989,-1197.283861282404
90,17040,-1219.3636241073375,-1192.533566035381
91,17211,-1219.3376661382154,-1217.0014489172188
92,17367,-1219.6964819590223,-1252.3487216524532
93,17867,-1209.4531525311777,-267.06684516946495
94,18367,-1199.1042248441204,-236.65394994780172
95,18867,-1189.193487235687,-257.5841520429402
96,19102,-1189.4475742659458,-1213.5858421405346
97,19290,-1189.977914804831,-1240.8906065378092
98,19790,-1180.4229911182567,-253.5953935205318
99,19956,-1181.2365010666872,-1260.9604760128777
100,20456,-1171.9602669560413,-253.6130900021035
101,20793,-1104.2631656185263,-1185.4393358581137
102,21293,-1090.3196452118186,-286.6333175209859
103,21496,-1087.4257715089057,-1211.3832332795598
104,21996,-1079.2977935153597,-264.12259543146706
105,22208,-1080.907979266395,-1213.9492971007714
106,22708,-1072.946305525227,-261.95279191872396
107,22893,-1074.6324522524442,-1224.6008066581142
108,23104,-1074.7649449757348,-1215.2776364675744
109,23604,-1063.7561230712715,-256.9116988703637
110,23791,-1064.7596547395606,-1240.503566679183
111,24066,-1065.5489630457396,-1177.839903851101
112,24330,-1066.0411588843665,-1189.2536389285567
113,24533,-1067.3984024983647,-1209.5322706483196
114,25033,-1059.4037232250073,-269.4106614361683
115,25254,-1060.6533707491528,-1201.972581056409
116,25592,-1061.0715222596464,-1156.9820010270541
117,26092,-1051.578406708359,-248.23905135069165
118,26330,-1060.5132161021204,-1197.5519183702525
119,26830,-1053.5355189598113,-347.9264763472159
120,27148,-1054.8148444096794,-1190.0222203941066
121,27373,-1056.3820880870142,-1221.4009657893134
122,27578,-1058.071651701561,-1222.1651712468417
123,27827,-1059.2788409589477,-1218.1799429826547
124,28327,-1051.732880391958,-327.8740700016105
125,28827,-1044.4200393365777,-354.4111211365212
126,29327,-1036.131279778042,-235.42417549046306
127,29827,-1027.5641570805942,-233.05497559689
128,30327,-1019.4103888971408,-308.4977721548573
