episode,timestep,reward,raw_reward
1,117,-1022.3952455068678,-1022.3952455068678
2,227,-1022.4544826395044,-1022.5137197721409
3,429,-1025.039405738689,-1030.2092519370585
4,754,-1026.1848750989648,-1029.621283179792
5,882,-1025.8352738937301,-1024.4368690727913
6,987,-1025.4650048544552,-1023.6136596580795
7,1095,-1025.2681187871726,-1024.0868023834778
8,1232,-1025.2654098120443,-1025.2464469861472
9,1331,-1024.8815388486455,-1021.8105711414554
10,1432,-1024.5007062392317,-1021.0732127545076
11,1527,-1024.1478677418893,-1020.6194827684652
12,1648,-1023.9073391112319,-1021.2615241739998
13,1850,-1023.8162623670846,-1022.723341437319
14,2026,-1024.0017520475874,-1026.4131178941227
15,2166,-1023.8914196079966,-1022.3467654537262
16,2316,-1023.7587589836328,-1021.7688496181748
17,2539,-1023.7107066461463,-1022.941869246362
18,2699,-1023.8501184119388,-1026.220118430411
19,3199,-971.482914203529,-28.873238452152393
20,3699,-924.2795307648161,-27.41524542926977
21,4199,-881.3028825239744,-21.76991770714168
22,4699,-842.0788608719985,-18.37440618050303
23,4941,-850.353261648248,-1032.390078725737
24,5113,-857.8135172120798,-1029.3993951802122
25,5341,-864.7756602991146,-1031.8670943879529
26,5492,-870.9375160719093,-1024.9839103917736
27,5648,-876.6942638488579,-1026.3697060495201
28,5803,-882.1018536519441,-1028.106778335273
29,5972,-887.165028158235,-1028.9339143343823
30,6114,-891.8836164592655,-1028.722677189148
31,6253,-892.0573625311649,-1027.607627663854
32,6416,-892.2324441331671,-1027.7661678322006
33,6562,-892.1609598534385,-1028.0647235452047
34,6712,-892.1291072328273,-1028.6657045614543
35,6885,-892.2414058157926,-1027.8058265617537
36,7032,-892.3237499201952,-1026.0839827901561
37,7239,-892.4622069374692,-1028.240512901696
38,7739,-858.5954001880334,-9.242244503075574
39,8239,-824.7066305021698,-5.147480565547008
40,8739,-790.8544386559183,-5.507457366967863
41,9239,-757.0188628106156,-5.552207409383232
42,9739,-723.4274606410105,-13.519459085843321
43,9977,-723.701314774045,-1030.9389654283564
44,10246,-724.0444531316796,-1036.7072686231609
45,10676,-724.5025232413742,-1036.088868744562
46,11030,-724.9190295884898,-1034.264040031638
47,11417,-725.3109236769936,-1034.6986919014726
48,11736,-725.3700548063055,-1027.9940523097694
49,12128,-758.8541719943496,-1033.3967540934739
50,12628,-758.3524638997362,-12.364002590866953
51,13107,-792.0994629218917,-1034.1798883718056
52,13587,-825.971295812495,-1034.5293928986034
53,14087,-792.3253062862502,-23.010392938394773
54,14587,-758.5844148033804,-17.172650694113635
55,15087,-724.6669874864202,-14.344274879154167
56,15587,-691.1106961370429,-18.295169910456977
57,16087,-657.465114125826,-17.002245713014617
58,16587,-623.7610429597576,-16.984643353217606
59,17087,-589.9663114009799,-15.091967571054255
60,17587,-556.2140553315073,-16.15499510496638
61,18087,-522.4341219347949,-14.209625762483705
62,18587,-488.72119028996974,-16.378218487445288
63,18949,-488.731378984341,-1028.3703843763428
64,19396,-488.8404124217863,-1031.9367076848134
65,19896,-455.072345478319,-14.76381825773243
66,20396,-421.3001937603422,-12.91943125085385
67,20773,-421.348133842985,-1029.6787153809817
68,21273,-421.33859270342685,-8.956010316327129
69,21773,-421.5464609378741,-11.383527598965287
70,22094,-455.4616435576466,-1022.9629359601446
71,22461,-489.3715430530992,-1022.8491922729592
72,22710,-523.0248826885619,-1023.1196481497241
73,23018,-522.7776920211187,-1023.5232454050597
74,23307,-522.378183226809,-1024.7220047938738
75,23567,-521.9813672283159,-1024.1843887897674
76,23844,-521.6767912248573,-1025.1267599278824
77,24203,-521.2634886868789,-1022.2996157621191
78,24539,-521.150551336998,-1024.6059318133437
79,24883,-520.8666524158992,-1024.8797864605108
80,25113,-554.5716681937848,-1023.5144759274355
81,25403,-554.2838710926785,-1025.5459753386126
82,25751,-554.0233063226476,-1026.7124497976772
83,25956,-587.3483636977978,-1022.7621141929015
84,26243,-620.9923061821353,-1026.4909252242371
85,26516,-654.8796337614054,-1030.9641022572569
86,26830,-688.4511563280919,-1025.440846911052
87,27056,-722.0093691559624,-1023.7486305491291
88,27332,-755.6374801380904,-1025.8279728170585
89,27801,-789.5141819483459,-1031.39302187872
90,28242,-823.2899059953683,-1029.4267165156298
91,28534,-856.9648837391962,-1024.4589580773268
92,28743,-890.5115500259152,-1022.7782070890181
93,28942,-890.3306621270931,-1022.9437474116779
94,29138,-890.0333701011538,-1023.0179469066346
95,29312,-923.5915548337017,-1021.509360234173
96,29533,-957.3082105822087,-1024.4191037060634
97,29832,-957.3306596240637,-1030.3521866366311
98,30110,-991.2443246873474,-1026.3659622148366
99,30348,-1025.3136009448226,-1033.4618153232225
100,30545,-1025.7048355793447,-1034.6999749958113
101,30724,-1026.141720701265,-1035.955745930565
102,30940,-1026.5336542242983,-1034.8776538407203
103,31175,-1026.9583460341664,-1036.2639997011017
104,31401,-1027.3479302972378,-1036.4095326860122
105,31620,-1027.738235187832,-1035.8935355075944
106,31939,-1027.955837296157,-1031.6548231776335
107,32192,-1028.3325415902293,-1033.60074458429
108,32406,-1028.374861998177,-1025.8755440517796
109,32574,-1028.2819563721612,-1022.0926176800346
110,32750,-1028.2182693760046,-1021.6038660427334
111,32945,-1028.1683801466434,-1024.0492984577834
112,33116,-1028.033141105424,-1022.6552785610899
113,33240,-1027.9441102721396,-1020.0911891943742
114,33418,-1027.8312917976812,-1023.1063709904823
115,33541,-1027.473654540947,-1020.2349845552349
116,33670,-1027.3526627057402,-1021.8110918548389
117,33889,-1027.3008407003801,-1022.1939703883339
118,34051,-1027.203524199164,-1022.9084777805748
119,34179,-1026.8554312127133,-1020.9502322851972
120,34297,-1026.540446868246,-1019.9771861816091
121,34456,-1026.4359377212606,-1021.3236836677628
122,34665,-1026.4713270024383,-1023.8398855243546
123,34848,-1026.4577501567157,-1022.5364420399934
124,34982,-1026.4162875404008,-1021.7740684171941
125,35106,-1026.3889379687646,-1020.6888730850812
126,35353,-1026.3834085875585,-1024.2532222698876
127,35611,-1026.1955786709582,-1024.7172891386197
128,35804,-1026.1154989374973,-1023.9635702110114
129,36036,-1025.7705526606426,-1023.1134270175785
130,36404,-1025.5016101978842,-1026.6317011130661
