episode,timestep,reward,raw_reward
1,110,-1028.3351509337926,-1028.3351509337926
2,198,-1027.2880513066143,-1026.240951679436
3,325,-1029.4527226383013,-1033.7820653016756
4,433,-1027.366446681552,-1021.1076188113034
5,668,-1027.7982256473874,-1029.5253415107288
6,716,-1026.0678859905663,-1017.416187706461
7,770,-1024.8669383694455,-1017.661252642721
8,814,-1023.9562851494436,-1017.5817126094298
9,857,-1023.2464874292143,-1017.5681056673809
10,913,-1022.7387062800997,-1018.1686759380683
11,957,-1021.6456940498013,-1017.4050286308062
12,1007,-1020.7963876638514,-1017.7478878199387
13,1055,-1019.1176094299171,-1016.9942829623337
14,1096,-1018.734733738937,-1017.2788619015017
15,1159,-1017.6105060220707,-1018.2830643420654
16,1221,-1017.6514363629667,-1017.825491115419
17,1285,-1017.737402890456,-1018.5209179176172
18,1329,-1017.726656265794,-1017.4742463628103
19,1374,-1017.7547698520206,-1017.8492415296463
20,1416,-1017.614194383715,-1016.7629212550105
21,1459,-1017.5983554251243,-1017.2466390448988
22,1506,-1017.5801876359285,-1017.5662099279824
23,1562,-1017.6749415744298,-1017.9418223473474
24,1668,-1018.1327923482606,-1021.8573696398096
25,1738,-1018.166567224213,-1018.6208131015876
26,1900,-1020.1701758835109,-1037.8615777083983
27,2400,-919.4435202935799,-11.254362018308736
28,2533,-921.5131141588369,-1038.1701850153788
29,2691,-923.2820105818788,-1035.5382057600652
30,2856,-925.1125839767259,-1035.0686552034815
31,3040,-926.8378042010038,-1034.498841287678
32,3151,-928.5818539448162,-1035.0067073661087
33,3269,-929.4451963442785,-1026.5752463419678
34,3380,-930.2234970469763,-1029.640376666789
35,3566,-930.9060369881641,-1025.4462125134623
36,3661,-929.5882792643972,-1024.6840004707324
37,3757,-1030.8999865958594,-1024.3714353329315
38,3851,-1029.4774191855995,-1023.9445109127772
39,3925,-1028.3697614141784,-1024.4616280458547
40,4015,-1027.4337989964931,-1025.7090310266306
41,4130,-1026.5524895352983,-1025.685746675728
42,4238,-1025.7130749039836,-1026.612561052962
43,4327,-1025.5923823431403,-1025.3683207335357
44,4479,-1025.4395702357165,-1028.1122555925506
45,4571,-1025.495626994665,-1026.0067801029475
46,4681,-1026.4783777632197,-1034.5115081562794
47,4826,-1027.5125844755494,-1034.7135024562292
48,4971,-1028.0549057394678,-1029.3677235519597
49,5107,-1029.0544039289707,-1034.4566099408864
50,5237,-1029.8955676298053,-1034.1206680349756
51,5356,-1030.9737310967412,-1036.4673813450859
52,5482,-1031.8544751140166,-1035.4200012257143
53,5579,-1033.01224903432,-1036.9460599365727
54,5737,-1033.7951924967456,-1035.941690216804
55,5882,-1034.7408517473345,-1035.4633726088368
56,6026,-1034.8398404897039,-1035.5013955799739
57,6128,-1034.6655268961892,-1032.970366521083
58,6260,-1035.2046508698083,-1034.7589632881504
59,6369,-1034.8433174344416,-1030.8432755872198
60,6505,-1034.9584900048728,-1035.2723937392877
61,6638,-1034.3251732225006,-1030.1342135213633
62,6776,-1033.7224048379128,-1029.3923173798364
63,6862,-1032.7399989746584,-1027.1220013040293
64,6989,-1031.9697741225123,-1028.2394416953434
65,7108,-1031.0688158282921,-1026.453789666635
66,7212,-1030.2494795035636,-1027.308032332688
67,7291,-1029.6517332657115,-1026.9929041425603
68,7454,-1030.049729636411,-1038.738926995147
69,7559,-1030.7438426077501,-1037.784405300611
70,7719,-1031.0503668793667,-1038.3376364554547
71,7874,-1031.7335243668779,-1036.9657883964728
72,8076,-1032.3342687440138,-1035.399761151195
73,8217,-1033.377695950577,-1037.55627336966
74,8336,-1034.3685133495335,-1038.1476156849096
75,8491,-1035.361887677012,-1036.3875329414223
76,8659,-1036.5888041853527,-1039.5771974160966
77,8836,-1037.6730401766458,-1037.83526405549
78,8999,-1037.7457394010148,-1039.4659192388378
79,9208,-1037.4361039586963,-1034.6880508774261
80,9416,-1037.2434231783845,-1036.4108286523358
81,9615,-1037.089098116497,-1035.4225377776004
82,9827,-1036.9679831742758,-1034.1886117289794
83,10064,-1036.7062240258272,-1034.9386818851742
84,10253,-1036.3605538885697,-1034.6909143123341
85,10445,-1036.1831092235952,-1034.6130862916793
86,10770,-1035.136574673919,-1029.1118519193344
87,10981,-1034.7739543987416,-1034.209061303713
88,11240,-1034.177250034862,-1033.498875600044
89,11425,-1034.21316797205,-1035.0472302493079
90,11573,-1034.2409161853752,-1036.688310785585
91,11790,-1034.0351135351975,-1033.3645112758222
92,11978,-1034.063917014594,-1034.4766465229459
93,12225,-1033.8227197983338,-1032.5267097225708
94,12411,-1033.8244061695764,-1034.7077780247625
95,12632,-1033.7035441910086,-1033.4044665060014
96,12851,-1034.2303461787646,-1034.3798717968934
97,13016,-1034.4276824685642,-1036.1824242017083
98,13254,-1034.5451326599384,-1034.6733775137866
99,13411,-1034.6671805353542,-1036.267709003465
100,13646,-1034.5107228060335,-1035.1237334923785
101,13831,-1034.6627639365518,-1034.8849225810036
102,14063,-1034.5563341000054,-1033.4123481574848
103,14230,-1034.9394215450577,-1036.3575841730922
104,14371,-1035.263786940885,-1037.9514319830364
105,14648,-1035.1166787391287,-1031.933384488439
106,14848,-1035.164667058832,-1034.859754993928
107,15025,-1035.1642357060978,-1036.1781106743645
108,15214,-1035.3942483309831,-1036.973503762639
109,15425,-1035.5879584791403,-1038.204810485036
110,15575,-1035.912069082849,-1038.3648395294654
111,15782,-1035.9697603700758,-1035.461835453273
112,15949,-1036.2723607595194,-1036.4383520519232
113,16141,-1036.0141195862925,-1033.775172440822
114,16447,-1035.0574895978139,-1028.3851320982478
115,16775,-1034.8393036324396,-1029.7515248346974
116,17275,-932.9976652197765,-16.443370867298235
117,17402,-931.7022827922656,-1023.2242863992523
118,17661,-930.961473176106,-1029.5654076010455
119,17781,-929.4868845369617,-1023.4589240935934
120,17882,-927.8421237695186,-1021.9172318550338
121,17993,-926.4983516606428,-1022.0241143645146
122,18086,-924.9314018488747,-1020.768853934241
123,18208,-923.8746156178297,-1023.2073101303724
124,18310,-923.2403440417187,-1022.0424163371389
125,18810,-821.9855257737365,-17.203342154875003
126,19310,-822.3350220160264,-19.938333290198205
127,19810,-721.0924289904366,-10.798356143352166
128,20310,-619.2452778849256,-11.093896545937284
129,20810,-518.0914356348704,-11.920501593040878
130,21310,-417.0234510833503,-11.237386339832783
131,21810,-316.0874492725418,-12.66409625642906
132,22310,-215.3259773004353,-13.154134213175977
133,22810,-113.97631935571079,-9.710730683127581
134,23310,-13.170760411583833,-13.986826895869399
135,23810,-12.692287881794186,-12.418616856978527
136,24310,-12.552004355749784,-18.535498029754166
137,24810,-13.176121395642923,-17.03952654228356
138,25310,-13.564108497215518,-14.973767561663227
139,25810,-14.541222750128977,-21.691644122175507
140,26310,-14.751828705315614,-13.343445891699147
141,26536,-117.12146997275529,-1036.3605089308257
142,27036,-116.78369436752273,-9.776378160850609
143,27536,-116.75184574526948,-9.392244460594995
144,27746,-218.9638434666384,-1036.1068041095584
145,27983,-321.4928862074329,-1037.7090442649244
146,28221,-423.2193197861792,-1035.7998338172163
147,28721,-422.360725315265,-8.453581833141108
148,28981,-524.215947321729,-1033.5259876263026
149,29227,-625.7668656267023,-1037.2008271719103
150,29393,-728.2032010492485,-1037.7068001171606
151,29890,-728.6639966111645,-1040.9684645499851
152,30075,-831.32221474832,-1036.3585595324062
153,30575,-832.0069288482673,-16.23938546006839
154,30823,-832.0776799155416,-1036.8143147823018
155,31223,-832.1626005714203,-1038.5582508237103
156,31394,-832.3015655695417,-1037.1894837984312
157,31572,-935.1128775998716,-1036.5667021364386
158,31833,-935.3831884554578,-1036.2290961821657
159,32091,-935.34168315581,-1036.7857741754303
160,32542,-935.6399896129,-1040.6898646880618
161,32749,-935.148857772772,-1036.0571461487061
162,32998,-935.0469463245523,-1035.3394450502067
163,33179,-1037.062920231563,-1036.3991245301777
164,33343,-1037.1576041480707,-1037.761153947378
165,33508,-1037.0374314523,-1037.3565238660035
166,33684,-1036.9225149422734,-1036.0403186981662
167,34184,-934.4254307772713,-11.595860486419713
168,34456,-934.1597749116567,-1033.5725375260176
169,34651,-933.113515128859,-1026.3231763474541
170,34926,-932.2917497985424,-1032.4722113848923
171,35121,-932.1629592391739,-1034.7692405550224
172,35465,-932.1283456198186,-1034.9933088566536
173,35725,-931.8736548713108,-1033.8522170451022
