episode,timestep,reward
1,500,-9.746399231195861
2,599,-515.2021191999103
3,667,-682.6586974290509
4,738,-766.3652356390976
5,859,-816.9664046276199
6,1021,-850.9068965985593
7,1158,-874.8952294363062
8,1265,-892.8346160560623
9,1349,-906.7854597020439
10,1776,-918.1338584069763
11,1898,-927.227846993506
12,1989,-934.7797118555819
13,2090,-941.1925718012415
14,2211,-946.6871760007438
15,2422,-951.8080697310767
16,2520,-955.9877673602559
17,2650,-959.6289910269137
18,2823,-962.891267616525
19,2994,-966.2387354844732
20,3122,-969.0576275964974
21,3237,-971.5883851830497
22,3326,-973.8646398202803
23,3452,-975.9738343326676
24,3785,-977.9410878152521
25,4056,-980.0730454156701
26,4220,-981.6972329477032
27,4569,-983.720127852536
28,4717,-985.578257656018
29,5047,-987.2824911968994
30,5210,-988.8635463795277
31,5372,-990.3315885258926
32,5628,-991.657927732059
33,5773,-992.887045933364
34,6273,-963.6864007773485
35,6485,-965.589251333234
36,6688,-967.3699418395221
37,6911,-969.1522700748077
38,7061,-970.718015179811
39,7175,-972.1198373576839
40,7346,-973.4339535699255
41,7475,-974.750337410245
42,7671,-976.0123754854436
43,7866,-977.1574045361103
44,8039,-978.2339432481399
45,8198,-979.2966875700799
46,8698,-958.0096269171646
47,8814,-959.4524742281701
48,8978,-960.7863364929973
49,9157,-962.041334066437
50,9307,-963.2888627277612
51,9417,-964.4546628875217
52,9592,-965.5840564974641
53,9721,-966.6573986882337
54,9863,-967.6885011122046
55,10310,-968.6731278649295
56,10409,-969.6182194794544
57,10590,-970.5307214162614
58,10699,-971.4107512113213
59,10859,-972.2706995841246
60,10992,-973.0995619447733
61,11100,-973.8953809814938
62,11258,-974.6611776447712
63,11388,-975.3950431449182
64,11555,-976.1094166338473
65,11653,-976.8117421948681
66,11833,-977.489009286414
67,11970,-978.1388709644264
68,12156,-978.7680058072474
69,12256,-979.3899777833188
70,12423,-979.9806640602965
71,12528,-980.5606169663878
72,12637,-981.151728547352
73,12749,-981.7104470068027
74,12865,-982.2567065531131
75,13037,-982.7908123084788
76,13148,-983.3164048012083
77,13248,-983.824072106023
78,13399,-984.3164938702399
79,13536,-984.800281148603
80,13678,-985.266692633793
81,13795,-985.7279586757226
82,13959,-986.1807722094381
83,14094,-986.6229792440106
84,14256,-987.0571661069391
85,14399,-987.4918053916654
86,14519,-987.9305277065884
87,14718,-988.3511878194848
88,14830,-988.7611669351357
89,14990,-989.1576623361009
90,15163,-989.5437827082757
91,15287,-989.9311802769836
92,15418,-990.3941617579851
93,15659,-990.8552294184358
94,15888,-991.3034764449293
95,16112,-991.7526175438256
96,16276,-992.192179112911
97,16423,-992.6290963773739
98,16664,-993.0472008815875
99,16799,-993.4661785175017
100,17004,-993.8624279341249
101,17190,-1004.1028399860073
102,17469,-1004.240676465388
103,17619,-1004.4118226351791
104,17834,-1004.575505785072
105,17985,-1004.7210179772654
106,18226,-1004.8605600847276
107,18372,-1005.0185022509186
108,18531,-1005.1814737811894
109,18741,-1005.3345356177372
110,19241,-995.2231031604665
111,19741,-985.0952594167339
112,20241,-974.9764882351209
113,20741,-964.8560794653525
114,21241,-954.7397835920005
115,21741,-944.5867792913904
116,22241,-934.4638336450237
117,22741,-924.3301868122642
118,23241,-914.2063552321187
119,23741,-903.9737319387112
120,24241,-893.7871674960891
121,24741,-883.578491810294
122,25241,-873.399861239344
123,25741,-863.1844501721458
124,26241,-852.9550491524066
125,26741,-842.6771882459532
126,27241,-832.4587061950745
127,27741,-822.1011764499523
128,28241,-811.8286569833623
129,28741,-801.5768811275816
130,29241,-791.2329554134234
131,29741,-780.8918021937766
132,30241,-770.5960126054259
133,30741,-760.2785363829443
134,30917,-770.4893214182157
135,31417,-760.2011742144863
136,31917,-749.9454526365096
137,32417,-739.6326286030576
138,32917,-729.3528663897672
139,33417,-719.1344245923201
140,33917,-708.8966108843005
141,34417,-698.6316642571929
142,34917,-688.3711641314804
