episode,timestep,reward,raw_reward
1,488,-1324.7348483563896,-1324.7348483563896
2,656,-1638.1793746314943,-1951.6239009065991
3,801,-1783.6894818397843,-2074.7096962563646
4,962,-1658.3959111908248,-1282.515199243946
5,1100,-1623.8779515412684,-1485.806112943043
6,1215,-1571.9426104909437,-1312.2659052393217
7,1363,-1560.0889440577516,-1488.966945458599
8,1563,-1582.9968479749568,-1743.3521753953933
9,1743,-1553.5303022644953,-1317.7979365808023
10,1968,-1543.6999346521327,-1455.2266261408686
11,2136,-1505.6878455853819,-1125.5669549178758
12,2276,-1478.684087928109,-1181.6427536981066
13,2393,-1457.7704996665886,-1206.807440528346
14,2527,-1461.2460708767492,-1506.4284966088387
15,2635,-1451.9103164128242,-1321.2097539178717
16,2777,-1434.011150079205,-1165.5236550749114
17,2952,-1418.4315166642518,-1169.1573820250023
18,3126,-1407.1930343533309,-1216.1388350676752
19,3229,-1388.848491821003,-1058.6467262391031
20,3343,-1375.1082535682815,-1114.043726766573
21,3449,-1359.9106415071535,-1055.9584002845902
22,3535,-1345.4165245246481,-1041.0400678920366
23,3668,-1332.3008194673196,-1043.7553082060876
24,3799,-1321.0004361228073,-1061.0916191990302
25,3894,-1309.4462508052115,-1032.1458031829152
26,3993,-1300.0057995748282,-1063.9945188152394
27,4096,-1290.801578454763,-1051.491829333067
28,4205,-1283.8576597903182,-1096.3718558503124
29,4341,-1277.347874960361,-1095.0738997215603
30,4468,-1270.8839509958627,-1083.4301560254123
31,4593,-1265.457731447469,-1102.6711449956629
32,5093,-1226.8731280532031,-30.750422830958314
33,5202,-1223.0360002112552,-1100.2479092689223
34,5702,-1188.97699514034,-65.02982780013572
35,5988,-1190.6014555523684,-1245.833109561334
36,6132,-1188.1163205117027,-1101.136594088407
37,6298,-1191.370935851775,-1308.5370880943728
38,6410,-1189.4557682344596,-1118.5945663937882
39,6508,-1187.2108215342207,-1101.9028469251405
40,6632,-1186.8847837504757,-1174.169310184417
41,6722,-1185.9814626723646,-1149.8486195479256
42,6849,-1186.5575830283747,-1210.1785176247768
43,6980,-1187.0560373355927,-1207.9911182387607
44,7102,-1188.4214971180916,-1247.1362677655359
45,7200,-1186.7009883684232,-1110.9986033830157
46,7377,-1187.9682601461004,-1244.9954901415792
47,7479,-1188.1898189329975,-1198.381523130268
48,7615,-1189.7853930478552,-1264.7773764461708
49,7749,-1191.0752277768156,-1252.9872947669144
50,7859,-1192.0030544800907,-1237.466562940562
51,7955,-1192.6145187743314,-1223.1877334863689
52,8095,-1193.3258356739732,-1229.6029975557026
53,8217,-1194.6443506604512,-1263.2071299573054
54,8347,-1195.8217021804,-1258.2213327376978
55,8550,-1197.7035679418377,-1299.3243190594721
56,8650,-1198.382503203131,-1235.7239425742582
57,8828,-1201.313477206266,-1365.4480213818356
58,8944,-1202.8607580299577,-1291.0557649803827
59,9116,-1204.7862697495839,-1316.4659494879054
60,9259,-1206.154497581029,-1286.879939636297
61,9366,-1206.7026436404626,-1239.591407206474
62,9538,-1208.5967015905399,-1324.1342365452458
63,9682,-1210.1144110626772,-1304.212398335199
64,9854,-1211.803391339974,-1318.2091488096796
65,9956,-1212.1626939373398,-1235.158060168742
66,10158,-1214.0314616957803,-1335.5013659944034
67,10314,-1215.6838403079996,-1324.7408287144845
68,10518,-1216.2909628346117,-1256.9681721176285
69,10621,-1216.1334850095086,-1205.424992902499
70,10799,-1217.4994759120393,-1311.7528481866475
71,10902,-1216.5024355428823,-1146.7096097018998
72,11010,-1215.6356527687167,-1154.0940758029305
73,11120,-1214.7444180510306,-1150.5755183776282
74,11235,-1213.587901510175,-1129.1621940277143
75,11393,-1212.5117375342174,-1132.8756033133518
76,11509,-1211.6262818609894,-1145.217106368892
77,11605,-1210.0349732542552,-1089.0955191424546
78,11793,-1209.8982303885693,-1199.3690297307644
79,11924,-1209.208572906178,-1155.4152892796624
80,12060,-1208.646101473049,-1164.2108582558517
81,12171,-1207.8736114330477,-1146.074408232966
82,12348,-1207.3310534150771,-1163.3838539594535
83,12492,-1207.0564555021544,-1184.5394266424942
84,12678,-1207.0703549308812,-1208.2240075151885
85,12836,-1207.3242539387936,-1228.6517706034392
86,12949,-1206.9680374293985,-1176.689634130811
87,13254,-1207.07664386743,-1216.416797538147
88,13364,-1207.1140638444458,-1210.3696018448106
89,13552,-1207.4503393703988,-1237.042585654264
90,13775,-1207.044086387458,-1170.8875709057447
91,13890,-1206.2700247030434,-1136.6044731057234
92,14005,-1206.308540150478,-1209.8134458670272
93,14386,-1206.9830724806015,-1269.0400468519645
94,14626,-1207.9863030288313,-1301.2867440142063
95,14846,-1208.7958642923256,-1284.8946230607999
96,15009,-1209.312323478345,-1258.3759461501647
97,15131,-1208.7018555143475,-1150.0969309706006
98,15358,-1208.0130611354557,-1141.2000063829428
99,15462,-1207.2144349204434,-1128.9490658492389
100,15740,-1206.7515432975429,-1160.925272630385
101,15937,-1205.1031787292063,-1159.8983915227338
102,16437,-1186.2041842909803,-61.724457084007796
103,16564,-1176.905597383769,-1144.8510055352292
104,16817,-1176.2021261086647,-1212.1680717335412
105,16944,-1173.0184352866768,-1167.4370307442287
106,17444,-1160.5748243487908,-67.90481145072474
107,17557,-1157.3713839194766,-1168.6229025271575
108,17680,-1151.5622972799742,-1162.4435114451755
109,17888,-1150.3499775366283,-1196.5659622461935
110,17998,-1147.1902807118015,-1139.2569436581948
111,18144,-1147.4805094494689,-1154.5898286846211
112,18282,-1147.26335460821,-1159.9272695722293
113,18404,-1146.6453273334012,-1145.0047130474507
114,18603,-1143.4427097089117,-1186.1667341598813
115,18728,-1141.9790822987813,-1174.8470129048392
116,18903,-1142.3005715942695,-1197.6725846237246
117,19087,-1142.805560343653,-1219.6562569633884
118,19217,-1142.4326223521334,-1178.8450359157173
119,19418,-1144.4197138719976,-1257.355878225512
120,19558,-1145.0463304017658,-1176.7053797433887
121,19681,-1146.3807877082006,-1189.4041309280724
122,19802,-1147.7498287245044,-1177.9441695224004
123,19926,-1149.3783171365903,-1206.6041494146957
124,20119,-1151.418248347099,-1265.0847402499192
125,20274,-1153.4411250438666,-1234.4334728596543
126,20774,-1143.1225404933807,-32.13606376665573
127,21274,-1133.2131751639429,-60.55529638925953
128,21470,-1135.2841696378894,-1303.4713032449754
129,21648,-1137.2630867269575,-1292.9656086283662
130,22148,-1128.5391755389653,-211.03903722618912
131,22648,-1119.3763894806386,-186.3925391629923
132,22862,-1135.6063537686136,-1653.7468516284762
133,23362,-1125.5182372345478,-91.43625586232125
134,23550,-1140.440796188781,-1557.285723223461
135,23851,-1143.1618378341739,-1517.9372741006207
136,24351,-1140.4588620956065,-830.8390202316443
137,24464,-1144.183837029932,-1681.034581526931
138,24964,-1133.925930217604,-92.8038851609928
139,25083,-1140.4589623973918,-1755.2060649039395
140,25583,-1131.031337425812,-231.4068130264316
141,26083,-1121.4604239327152,-192.75727023826425
142,26583,-1115.0206089055064,-566.1970149038991
143,27083,-1109.5363391882115,-659.5641465092699
144,27583,-1102.6070838532455,-554.2107342689264
145,28083,-1101.0950191886745,-959.7921369259126
146,28583,-1094.872994595311,-622.7930308052477
147,29083,-1089.344810058287,-645.5630694278614
148,29583,-1083.6560270033658,-695.8990709540222
149,30083,-1076.2155896484774,-508.94355927807464
150,30314,-1088.636191575938,-2479.526755686629
151,30814,-1092.023913651823,-1561.959941074881
152,30947,-1098.597815548392,-1886.9931872125717
153,31447,-1091.5809195002296,-561.517525141089
154,31947,-1088.610198674753,-961.1492501900368
155,32447,-1085.9057946757923,-1028.8839191634108
156,32947,-1083.2421087658715,-969.3553515821806
157,33447,-1082.013162556533,-1242.5534004479741
158,33947,-1069.6034183395625,-50.08134328332833
159,34447,-1073.790529536114,-1735.177069143071
160,34947,-1075.4702119934482,-1454.8481853697215
161,35447,-1075.3978943610255,-1232.359643964189
162,35947,-1062.3722862906639,-21.57342950909604
163,36447,-1050.4050673381848,-107.49050308729679
164,36947,-1050.3176768977376,-1309.4701047649432
165,37447,-1054.0326436824846,-1606.6547386434472
166,37947,-1059.3293111906985,-1865.1681168157845
167,38447,-1063.3181815178846,-1723.6278614330906
168,38947,-1050.903624353785,-15.512455707671835
169,39447,-1039.2902141509805,-44.08397262204797
170,39947,-1026.4450574117448,-27.237174263070724
171,40447,-1016.0255422729228,-104.75809581972362
172,40947,-1022.4679561341421,-1798.3354619248737
173,41447,-1011.2218207378486,-25.961978748250413
174,41947,-1000.3969868125408,-46.67880149693084
175,42447,-989.2642460975283,-19.601531812085483
176,42947,-979.8967952651477,-208.47202313083733
177,43447,-969.8770566569358,-87.12165832126784
178,43947,-959.8922673110427,-200.8900951414476
179,44447,-959.793303669488,-1145.5189251241989
180,44947,-948.6898667546374,-53.86716677079201
181,45447,-937.8350836151093,-60.596094280159626
182,45947,-928.5344524767305,-233.320740121577
183,46447,-918.7736153422014,-208.45571318957582
184,46947,-919.6580028351622,-1296.66275681129
185,47447,-909.4696766101043,-209.81914809765212
186,47947,-901.4912115943692,-378.84313255729654
187,48447,-893.9179846762322,-459.09410572442937
188,48947,-882.49420505343,-67.99163956460089
189,49447,-870.2478777083743,-12.409851148681339
190,49836,-886.750480801062,-2821.1478801745384
191,50336,-877.710445314991,-232.6009244986246
192,50728,-894.4738515297533,-2886.154067343243
193,51228,-884.3529353764432,-256.94843152094967
194,51728,-878.7047374303131,-736.4669494011895
195,51973,-888.0296672699241,-2217.3876070218976
196,52361,-903.6051116468813,-2815.920383845895
197,52785,-922.1596544706082,-3005.5512133432862
198,53285,-923.2711204908893,-1252.3466084110519
199,53785,-912.8079363550991,-82.63065227022201
200,54285,-919.6817150963642,-1848.303146756882
201,54735,-938.3526426926067,-3026.991151146977
202,55235,-938.5420566221334,-80.66585003670374
