episode,timestep,reward,raw_reward
1,65,-1009.7408453684884,-1009.7408453684884
2,132,-1009.4252467910314,-1009.1096482135746
3,178,-1009.0797016694152,-1008.3886114261828
4,241,-1009.1977004510821,-1009.5516967960829
5,316,-1009.5305518547718,-1010.8619574695309
6,365,-1009.3299614739808,-1008.3270095700253
7,486,-1009.5877279861344,-1011.1343270590556
8,837,-1010.8082202016931,-1019.3516657106035
9,1097,-1011.7796246073917,-1019.550859852981
10,1466,-1013.1525798977812,-1025.509177511285
11,1527,-1012.9827454410674,-1011.2844008739311
12,1590,-1012.9729039221643,-1012.8646472142308
13,2090,-936.1524261187031,-14.306692477169312
14,2218,-941.5874226658206,-1012.2423777783464
15,2348,-947.0237812683608,-1023.1328017039255
16,2467,-951.8653362633272,-1024.4886611878223
17,2588,-956.1294852024761,-1024.3558682288578
18,2731,-959.8816752240431,-1023.6689055906799
19,2949,-962.8992971191283,-1017.2164912306632
20,3136,-965.8878088485644,-1022.6695317078514
21,3294,-966.5333217107531,-1022.6511026122628
22,3443,-967.213690142893,-1022.7170168563734
23,3600,-967.9100662442213,-1022.3161334527517
24,3767,-968.5701780848207,-1022.7539336080648
25,3930,-969.1593887690593,-1022.6461711543061
26,4086,-969.8897972070135,-1022.9351783291077
27,4245,-970.4855816983725,-1023.050016886237
28,4414,-970.657178697638,-1022.7836056959104
29,4591,-970.7805248152793,-1022.0177822058113
30,4754,-970.6003745543261,-1021.9061722922211
31,4911,-971.1187621504474,-1021.6521527963558
32,5115,-971.4915521019673,-1020.3204462446289
33,5260,-1021.8837823946538,-1022.1512983308972
34,5419,-1022.369262116172,-1021.9519722087109
35,5580,-1022.3266612819428,-1022.2807850193411
36,5764,-1022.1550431110882,-1021.0562977707295
37,5892,-1022.0961683243737,-1023.1783724945672
38,6043,-1022.0092886072616,-1021.9313112484373
39,6212,-1022.1978294690474,-1020.9873084663798
40,6347,-1022.1995397738185,-1022.7037378032724
41,6453,-1022.2413066544568,-1023.4864402250307
42,6589,-1022.2215263088949,-1022.3214099451333
43,6685,-1022.2100013112038,-1022.085633498933
44,6839,-1022.2046607354152,-1022.6471220922938
45,6966,-1022.210047076923,-1022.7538979844599
46,7131,-1022.2133705255268,-1023.0016473011848
47,7266,-1022.1603669339469,-1021.9899450546353
48,7378,-1022.1794430591478,-1023.1651281999316
49,7510,-1022.2290115503259,-1023.0091520293713
50,7580,-1021.9999732020269,-1017.3254053262417
51,7685,-1021.8675377795147,-1019.0034443461108
52,7841,-1021.8929336775603,-1020.8283642055417
53,7964,-1021.8183300612922,-1020.6592260055354
54,8039,-1021.5718731900209,-1017.0228347832843
55,8140,-1021.2256519509077,-1015.3563602370763
56,8295,-1021.0986080967052,-1018.51542068668
57,8406,-1020.6668935356847,-1014.544081274161
58,8576,-1020.633283648451,-1021.259113503763
59,8633,-1020.2698811254073,-1013.7192580055067
60,8696,-1019.8651767465999,-1014.6096502271245
61,8768,-1019.4392626314338,-1014.9681579217099
62,8839,-1018.9147560265731,-1011.8312778479161
63,8901,-1018.418210410324,-1012.1547211739538
64,9035,-1018.0572782200892,-1015.4284782875985
65,9135,-1017.525712580353,-1012.1225851897339
66,9211,-1016.9483898571607,-1011.4551928373393
67,9301,-1016.4420624454324,-1011.8633968200648
68,9430,-1015.8880548158477,-1012.0849756082387
69,9477,-1015.264947531565,-1010.5470063437186
70,9557,-1014.9705682108064,-1011.4378189110738
71,9630,-1014.5877629238282,-1011.347338606547
72,9715,-1014.1096341723456,-1011.2657891758857
73,9810,-1013.654238447403,-1011.5513115066827
74,9894,-1013.4074917787335,-1012.0879014098988
75,9948,-1013.1993547321742,-1011.1936193058901
76,10008,-1012.8176990292017,-1010.8823066272254
77,10099,-1012.8224994033644,-1014.6400887574159
78,10399,-1013.2256971393856,-1029.323068224184
79,10538,-1013.7900791120126,-1025.0068974580465
80,10679,-1013.7239689647365,-1013.2874472816092
81,10846,-1013.7595574296477,-1015.6799272199307
82,11082,-1014.0676385507197,-1017.9929002693569
83,11277,-1014.2956757771351,-1016.7154657022618
84,11501,-1014.4370984407167,-1018.256931559231
85,11707,-1014.9508978745474,-1022.398573866351
86,11920,-1015.4429901219895,-1021.2970377861827
87,12073,-1016.0485129001021,-1023.9738523823137
88,12433,-1016.4580148268808,-1020.2750141438082
89,12534,-1016.561807156136,-1012.6228529288219
90,12667,-1016.6149582922919,-1012.5008416341911
91,12857,-1017.1551522974087,-1022.151218708889
92,13002,-1017.2284349682201,-1012.7314425921105
93,13088,-1017.2037680982139,-1011.0579741065595
94,13168,-1017.1366581061444,-1010.7457015685087
95,13371,-1017.7802362752631,-1024.065182688259
96,13441,-1017.7256429583464,-1009.7904402888942
97,13524,-1017.5399023122676,-1010.9252758358402
98,13608,-1016.6005714657119,-1010.5364512930727
99,13767,-1016.0374013292321,-1013.7434947284504
100,13877,-1016.0145093611902,-1012.8296079207674
101,13967,-1015.8048437618238,-1011.4866152326076
102,14102,-1015.4884169462723,-1011.664363958324
103,14200,-1015.2625990472004,-1012.1991077208248
104,14291,-1014.9046363792133,-1011.0976781994877
105,14385,-1014.3604645597279,-1011.5151374766457
106,14464,-1013.8037616535754,-1010.1629796631312
107,14650,-1013.2057472251283,-1012.0135638133715
108,14755,-1012.832138144228,-1012.8028325258034
109,14839,-1012.7260267019952,-1010.5006240841678
110,14909,-1012.5860280070325,-1009.7008677349361
111,15029,-1012.0162144574981,-1010.7549477181997
112,15128,-1011.999452895162,-1012.3962113453856
113,15204,-1011.9280601040933,-1009.6301182851888
114,15285,-1011.8960741300394,-1010.1059820874301
115,15369,-1011.2126848338,-1010.3973967634752
116,15469,-1011.3213090930451,-1011.9629254737903
117,15550,-1011.30646316883,-1010.6283573515406
118,15786,-1011.5124543055772,-1014.6562740280151
119,15866,-1011.3357326003264,-1010.2090606234359
120,15942,-1011.1952809535684,-1010.0205749856118
121,16018,-1011.1249920054236,-1010.0808362697084
122,16105,-1011.1012366016591,-1011.1892558830343
123,16432,-1011.3524867861137,-1017.2241114099163
124,16932,-961.2758662717139,-9.565267911489139
125,17432,-911.3133962533859,-12.265737110085514
126,17932,-861.2219893440952,-8.334841477317681
127,18432,-811.2448219090448,-12.470215112364867
128,18525,-811.1581787915702,-1011.0699701763123
129,19025,-761.2385197426478,-12.10744310571824
130,19525,-711.4572069385733,-14.0746116534461
131,20025,-661.6469834270385,-14.550477487505555
132,20525,-611.7926024033907,-15.308590872424935
133,21025,-562.1027511571122,-15.833093359621149
134,21525,-512.4145534544901,-16.342028034989816
135,22025,-462.71092544765736,-16.324836626821995
136,22525,-412.6384350341511,-10.51311720366447
137,22675,-412.8334233109141,-1014.5281228867989
138,22868,-412.9622416281748,-1017.2326403732288
139,23368,-363.48574016541784,-20.679031368297778
140,23868,-313.6998880153322,-14.303531983897404
141,23980,-313.7972709888299,-1012.0284957396634
142,24480,-264.13568617920095,-17.957559690456357
143,24656,-264.06481878912723,-1015.8067636084407
144,25156,-263.9514971944192,-7.298836017329271
145,25410,-314.1992939552164,-1017.2216723260293
146,25685,-364.63059753404343,-1016.9609130538572
147,25909,-414.8026452808093,-1015.9111700476824
148,26409,-365.12352986557755,-17.487661871677634
149,26909,-365.10351950653165,-11.707235924799887
150,27124,-415.20629085677984,-1016.1300386584089
151,27624,-415.1581263902591,-13.587188157090852
152,28124,-415.09223003602636,-13.990663787770652
153,28624,-414.98102727693276,-13.609038177750612
154,29124,-414.68956972808866,-10.512877058106955
155,29624,-414.4649122629329,-11.831687323707262
156,30124,-414.5111336156718,-11.437544258442896
157,30624,-364.4135816960505,-12.577084494372402
158,31124,-314.413978703781,-17.24058052783736
159,31624,-314.0469087906491,-13.337633105660037
160,32124,-314.01488447747374,-13.66304572038974
161,32624,-264.24578577101096,-16.646521610409252
162,33124,-263.8014400567821,-9.070645405878441
163,33624,-213.6732185568038,-13.242333608874974
164,34124,-213.81541277766732,-10.14272043459979
165,34624,-163.5532451931887,-11.978320636456651
166,34740,-163.39085728346166,-1013.7131548593162
167,35240,-113.29714668764726,-14.036958131394588
168,35740,-113.03783596810277,-12.301447480787692
169,36240,-113.00496995634884,-11.049915689721807
170,36740,-62.836417600113734,-12.758991533706816
171,37240,-62.82245914779355,-13.308019110687148
172,37740,-62.62707943644207,-10.083069560740798
173,38240,-62.43719382564352,-9.811325961779582
174,38740,-62.40404496577004,-9.849899860637368
175,39240,-62.29729521646145,-9.69669233753554
176,39740,-62.26723197268136,-10.836279382841084
177,40240,-62.217384568737614,-11.580136415497368
178,40740,-61.8749844501624,-10.392578156333123
179,41240,-61.712040168314005,-10.078747468691958
180,41740,-61.61123818858755,-11.647006125860477
181,42240,-61.18251870570631,-8.07213195278447
182,42740,-61.24647675384775,-10.349806368707586
183,43240,-61.160285993114975,-11.518518394219488
184,43740,-61.152580866082516,-9.98861789395075
185,44240,-61.02901671851309,-9.5070376850684
186,44740,-10.817927174716958,-9.491363983393086
187,45240,-10.545313579179588,-8.584686220647212
188,45740,-10.372260237000157,-8.84038063719909
189,46240,-10.449905898155032,-12.602828912819279
190,46740,-10.176801703896928,-7.296907648544735
191,47240,-9.9400210273411,-8.572405579570596
